"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
9,">B/","אַב I","ʔav",,,,,,,,,,,,,
3,">B=/","אֵב II","ʔēv",,,,,,,,,,,,,
7,">BD[","אבד ","ʔVD",,,,,,,,,,,,,
8,">BN/","אֶבֶן ","ʔeven",,,,,,,,,,,,,
3,">GRH/","אִגְּרָה ","ʔiggᵊrāʰ",,,,,,,,,,,,,
57,">DJN","אֱדַיִן ","ʔᵉdayin",,,,,,,,,,,,,
1,">DR/","אֲדָר I","ʔᵃdār",,,,,,,,,,,,,
1,">DR=/","אִדַּר II","ʔiddar",,,,,,,,,,,,,
2,">DRGZR/","אֲדַרְגָּזַר ","ʔᵃdargāzar",,,,,,,,,,,,,
1,">DRZD>","אַדְרַזְדָּא ","ʔadrazdāˀ",,,,,,,,,,,,,
1,">DR</","אֶדְרָע ","ʔedrāʕ",,,,,,,,,,,,,
2,">ZD>","אַזְדָּא ","ʔazdāˀ",,,,,,,,,,,,,
3,">ZH[","אזה ","ʔZH",,,,,,,,,,,,,
7,">ZL[","אזל ","ʔZL",,,,,,,,,,,,,
1,">X/","אַח ","ʔaḥ",,,,,,,,,,,,,
1,">XJDH/","אֲחִידָה ","ʔᵃḥîdāʰ",,,,,,,,,,,,,
1,">XMT>/","אַחְמְתָא ","ʔaḥmᵊtāˀ",,,,,,,,,,,,,
3,">XR/","אַחַר ","ʔaḥar",,,,,,,,,,,,,
6,">XRJ/","אָחֳרִי I","ʔāḥᵒrî",,,,,,,,,,,,,
1,">XRJ=/","אַחֲרִי II","ʔaḥᵃrî",,,,,,,,,,,,,
1,">XRJN","אָחֳרֵין ","ʔāḥᵒrên",,,,,,,,,,,,,
5,">XRN/","אָחֳרָן ","ʔāḥᵒrān",,,,,,,,,,,,,
9,">XCDRPN/","אֲחַשְׁדַּרְפַּן ","ʔᵃḥašdarpan",,,,,,,,,,,,,
6,">JLN/","אִילָן ","ʔîlān",,,,,,,,,,,,,
1,">JMTNJ/","אֵימְתָנִי ","ʔêmtānî",,,,,,,,,,,,,
17,">JTJ/","אִיתַי ","ʔîtay",,,,,,,,,,,,,
7,">KL[","אכל ","ʔXL",,,,,,,,,,,,,
4,">L","אַל I","ʔal",,,,,,,,,,,,,
1,">L=","אֵל II","ʔēl",,,,,,,,,,,,,
1,">LH","אֵלֶּה ","ʔēlleʰ",,,,,,,,,,,,,
95,">LH/","אֱלָהּ ","ʔᵉlāh",,,,,,,,,,,,,
5,">LW","אֲלוּ ","ʔᵃlû",,,,,,,,,,,,,
5,">LJN","אִלֵּין ","ʔillên",,,,,,,,,,,,,
14,">LK","אִלֵּךְ ","ʔillēx",,,,,,,,,,,,,
4,">LP/","אֲלַף ","ʔᵃlaf",,,,,,,,,,,,,
4,">MH/","אַמָּה I","ʔammāʰ",,,,,,,,,,,,,
8,">MH=/","אֻמָּה II","ʔummāʰ",,,,,,,,,,,,,
3,">MN[","אמן ","ʔMN",,,,,,,,,,,,,
3,">MR/","אִמַּר ","ʔimmar",,,,,,,,,,,,,
71,">MR[","אמר ","ʔMR",,,,,,,,,,,,,
16,">NH","אֲנָה ","ʔᵃnāʰ",,,,,,,,,,,,,
3,">NWN","אִנּוּן ","ʔinnûn",,,,,,,,,,,,,
4,">NXN>","אֲנַחְנָא ","ʔᵃnaḥnāˀ",,,,,,,,,,,,,
1,">NJN","אִנִּין ","ʔinnîn",,,,,,,,,,,,,
1,">NS[","אנס ","ʔNS",,,,,,,,,,,,,
2,">NP/","אֲנַף ","ʔᵃnaf",,,,,,,,,,,,,
25,">NC/","אֱנָשׁ ","ʔᵉnāš",,,,,,,,,,,,,
15,">NTH","אַנְתָּה ","ʔantāʰ",,,,,,,,,,,,,
1,">NTWN","אַנְתּוּן ","ʔantûn",,,,,,,,,,,,,
3,">SWR/","אֱסוּר ","ʔᵉsûr",,,,,,,,,,,,,
1,">SNPR/","אָסְנַפַּר ","ʔāsnappar",,,,,,,,,,,,,
7,">SPRN>","אָסְפַּרְנָא ","ʔāsparnāˀ",,,,,,,,,,,,,
7,">SR/","אֱסָר ","ʔᵉsār",,,,,,,,,,,,,
5,"></","אָע ","ʔāʕ",,,,,,,,,,,,,
4,">P","אַף ","ʔaf",,,,,,,,,,,,,
1,">PRSJ/","אֲפָרְסָי ","ʔᵃfārsāʸ",,,,,,,,,,,,,
2,">PRSKJ/","אֲפַרְסְכָי ","ʔᵃfarsᵊxāʸ",,,,,,,,,,,,,
1,">PRSTKJ/","אֲפַרְסַתְכָי ","ʔᵃfarsatxāʸ",,,,,,,,,,,,,
1,">PTM/","אַפְּתֹם ","ʔappᵊtōm",,,,,,,,,,,,,
3,">YB</","אֶצְבַּע ","ʔeṣbaʕ",,,,,,,,,,,,,
8,">RB</","אַרְבַּע ","ʔarbaʕ",,,,,,,,,,,,,
3,">RGWN/","אַרְגְּוָן ","ʔargᵊwān",,,,,,,,,,,,,
5,">RW","אֲרוּ ","ʔᵃrû",,,,,,,,,,,,,
2,">RX/","אֲרַח ","ʔᵃraḥ",,,,,,,,,,,,,
10,">RJH/","אַרְיֵה ","ʔaryēʰ",,,,,,,,,,,,,
5,">RJWK/","אַרְיֹוךְ ","ʔaryôx",,,,,,,,,,,,,
1,">RJK/","אֲרִיךְ ","ʔᵃrîx",,,,,,,,,,,,,
1,">RKBH/","אַרְכֻבָּה ","ʔarxubbāʰ",,,,,,,,,,,,,
2,">RKH/","אַרְכָה ","ʔarxāʰ",,,,,,,,,,,,,
1,">RKWJ/","אַרְכְּוָי ","ʔarkᵊwāʸ",,,,,,,,,,,,,
21,">R</","אֲרַע ","ʔᵃraʕ",,,,,,,,,,,,,
1,">R<J/","אַרְעִי ","ʔarʕî",,,,,,,,,,,,,
1,">RQ/","אֲרַק ","ʔᵃraq",,,,,,,,,,,,,
6,">RTXCFT>/","אַרְתַּחְשַׁשְׂתְּא ","ʔartaḥšaśtᵊʔ",,,,,,,,,,,,,
3,">C/","אֹשׁ ","ʔōš",,,,,,,,,,,,,
1,">C>/","אֶשָּׁא ","ʔeššāˀ",,,,,,,,,,,,,
6,">CP/","אָשַׁף ","ʔāšaf",,,,,,,,,,,,,
2,">CRN/","אשׁרן ","ʔšrn",,,,,,,,,,,,,
2,">CTDWR/","אֶשְׁתַּדּוּר ","ʔeštaddûr",,,,,,,,,,,,,
3,">T/","אָת ","ʔāt",,,,,,,,,,,,,
16,">TH[","אתה ","ʔTH",,,,,,,,,,,,,
10,">TWN/","אַתּוּן ","ʔattûn",,,,,,,,,,,,,
5,">TR/","אֲתַר ","ʔᵃtar",,,,,,,,,,,,,
226,"B","בְּ ","bᵊ",,,,,,,,,,,,,
1,"B>JC/","בִּאישׁ ","biˀyš",,,,,,,,,,,,,
1,"B>C[","באשׁ ","BʔŠ",,,,,,,,,,,,,
3,"B>TR/","בָּאתַר ","bāˀtar",,,,,,,,,,,,,
25,"BBL/","בָּבֶל ","bāvel",,,,,,,,,,,,,
1,"BBLJ/","בָּבְלָי ","bāvlāʸ",,,,,,,,,,,,,
1,"BDR[","בדר ","BDR",,,,,,,,,,,,,
1,"BHJLW/","בְּהִילוּ ","bᵊhîlû",,,,,,,,,,,,,
11,"BHL[","בהל ","BHL",,,,,,,,,,,,,
6,"BVL[","בטל ","BṬL",,,,,,,,,,,,,
2,"BJN/","בֵּין ","bên",,,,,,,,,,,,,
1,"BJNH/","בִּינָה ","bînāʰ",,,,,,,,,,,,,
1,"BJRH/","בִּירָה ","bîrāʰ",,,,,,,,,,,,,
44,"BJT/","בַּיִת ","bayit",,,,,,,,,,,,,
1,"BJT[","בית ","BYT",,,,,,,,,,,,,
1,"BL/","בָּל ","bāl",,,,,,,,,,,,,
1,"BLH[","בלה ","BLH",,,,,,,,,,,,,
3,"BLW/","בְּלֹו ","bᵊlô",,,,,,,,,,,,,
8,"BLVC>YR/","בֵּלְטְשַׁאצַּר ","bēlᵊṭᵊšaˀṣṣar",,,,,,,,,,,,,
7,"BLC>YR/","בֵּלְשַׁאצַּר ","bēlᵊšaˀṣṣar",,,,,,,,,,,,,
22,"BNH[","בנה ","BNH",,,,,,,,,,,,,
1,"BNJN/","בִּנְיָן ","binyān",,,,,,,,,,,,,
1,"BNS[","בנס ","BNS",,,,,,,,,,,,,
12,"B<H[","בעה ","BʕH",,,,,,,,,,,,,
2,"B<W/","בָּעוּ ","bāʕû",,,,,,,,,,,,,
3,"B<L/","בְּעֵל ","bᵊʕēl",,,,,,,,,,,,,
1,"BQ<H/","בִּקְעָה ","biqʕāʰ",,,,,,,,,,,,,
5,"BQR[","בקר ","BQR",,,,,,,,,,,,,
19,"BR/","בַּר I","bar",,,,,,,,,,,,,
8,"BR=/","בַּר II","bar",,,,,,,,,,,,,
1,"BRK/","בְּרַךְ ","bᵊrax",,,,,,,,,,,,,
1,"BRK=[","ברך II","BRX",,,,,,,,,,,,,
4,"BRK[","ברך I","BRX",,,,,,,,,,,,,
5,"BRM","בְּרַם ","bᵊram",,,,,,,,,,,,,
3,"BFR/","בְּשַׂר ","bᵊśar",,,,,,,,,,,,,
2,"BT/","בַּת ","bat",,,,,,,,,,,,,
1,"GB/","גַּב I","gav",,,,,,,,,,,,,
10,"GB=/","גֹּב II","gōv",,,,,,,,,,,,,
2,"GBWRH/","גְּבוּרָה ","gᵊvûrāʰ",,,,,,,,,,,,,
21,"GBR/","גְּבַר I","gᵊvar",,,,,,,,,,,,,
1,"GBR=/","גִּבָּר II","gibbār",,,,,,,,,,,,,
2,"GDBR/","גְּדָבַר ","gᵊdāvar",,,,,,,,,,,,,
2,"GDD[","גדד ","GDD",,,,,,,,,,,,,
13,"GW>/","גֹּוא ","gôʔ",,,,,,,,,,,,,
1,"GWH/","גֵּוָה ","gēwāʰ",,,,,,,,,,,,,
1,"GWX[","גוח ","GWḤ",,,,,,,,,,,,,
1,"GZBR/","גִּזְבַּר ","gizbar",,,,,,,,,,,,,
6,"GZR[","גזר ","GZR",,,,,,,,,,,,,
2,"GZRH/","גְּזֵרָה ","gᵊzērāʰ",,,,,,,,,,,,,
1,"GJR/","גִּיר ","gîr",,,,,,,,,,,,,
1,"GLGL/","גַּלְגַּל ","galgal",,,,,,,,,,,,,
9,"GLH[","גלה ","GLH",,,,,,,,,,,,,
4,"GLW/","גָּלוּ ","gālû",,,,,,,,,,,,,
2,"GLL/","גְּלָל ","gᵊlāl",,,,,,,,,,,,,
1,"GMR[","גמר ","GMR",,,,,,,,,,,,,
3,"GNZ/","גְּנַז ","gᵊnaz",,,,,,,,,,,,,
3,"GP/","גַּף ","gaf",,,,,,,,,,,,,
1,"GRM/","גְּרַם ","gᵊram",,,,,,,,,,,,,
5,"GCM/","גְּשֵׁם ","gᵊšēm",,,,,,,,,,,,,
6,"D>","דָּא ","dāˀ",,,,,,,,,,,,,
1,"DB/","דֹּב ","dōv",,,,,,,,,,,,,
