"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
9,">B/","אַב I","Vater",,,,,,,,,,,,
3,">B=/","אֵב II","Frucht",,,,,,,,,,,,
7,">BD[","אבד ",,"zugrunde gehen",,,"umbringen, vernichten",,,"vernichtet werden",,,,,
8,">BN/","אֶבֶן ","Stein",,,,,,,,,,,,
3,">GRH/","אִגְּרָה ","Brief",,,,,,,,,,,,
57,">DJN","אֱדַיִן ","dann",,,,,,,,,,,,
1,">DR/","אֲדָר I","Adar <Monat>",,,,,,,,,,,,
1,">DR=/","אִדַּר II","Tenne",,,,,,,,,,,,
2,">DRGZR/","אֲדַרְגָּזַר ","Ratgeber",,,,,,,,,,,,
1,">DRZD>","אַדְרַזְדָּא ","mit Eifer; genau",,,,,,,,,,,,
1,">DR</","אֶדְרָע ","Arm; Gewalt",,,,,,,,,,,,
2,">ZD>","אַזְדָּא ","kundgetan",,,,,,,,,,,,
3,">ZH[","אזה ",,"heizen, anzünden",,,,,,,,,,,
7,">ZL[","אזל ",,"gehen",,,,,,,,,,,
1,">X/","אַח ","Bruder",,,,,,,,,,,,
1,">XJDH/","אֲחִידָה ","Rätsel",,,,,,,,,,,,
1,">XMT>/","אַחְמְתָא ","Ekbatana",,,,,,,,,,,,
3,">XR/","אַחַר ","nach",,,,,,,,,,,,
6,">XRJ/","אָחֳרִי I","eine andere",,,,,,,,,,,,
1,">XRJ=/","אַחֲרִי II","Ende",,,,,,,,,,,,
1,">XRJN","אָחֳרֵין ","zuletzt",,,,,,,,,,,,
5,">XRN/","אָחֳרָן ","ein anderer",,,,,,,,,,,,
9,">XCDRPN/","אֲחַשְׁדַּרְפַּן ","Satrap",,,,,,,,,,,,
6,">JLN/","אִילָן ","Baum",,,,,,,,,,,,
1,">JMTNJ/","אֵימְתָנִי ","schrecklich",,,,,,,,,,,,
17,">JTJ/","אִיתַי ","Vorhandensein; es gibt",,,,,,,,,,,,
7,">KL[","אכל ",,"essen",,,,,,,,,,,
4,">L","אַל I","nicht",,,,,,,,,,,,
1,">L=","אֵל II","diese",,,,,,,,,,,,
1,">LH","אֵלֶּה ","diese",,,,,,,,,,,,
95,">LH/","אֱלָהּ ","Gottheit, Gott",,,,,,,,,,,,
5,">LW","אֲלוּ ","sieh",,,,,,,,,,,,
5,">LJN","אִלֵּין ","diese",,,,,,,,,,,,
14,">LK","אִלֵּךְ ","diese",,,,,,,,,,,,
4,">LP/","אֲלַף ","tausend",,,,,,,,,,,,
4,">MH/","אַמָּה I","Elle <Maß>",,,,,,,,,,,,
8,">MH=/","אֻמָּה II","Nation",,,,,,,,,,,,
3,">MN[","אמן ",,,,,"vertrauen auf",,,,,,,,
3,">MR/","אִמַּר ","Lamm",,,,,,,,,,,,
71,">MR[","אמר ",,"sagen",,,,,,,,,,,
16,">NH","אֲנָה ","ich",,,,,,,,,,,,
3,">NWN","אִנּוּן ","sie; jene",,,,,,,,,,,,
4,">NXN>","אֲנַחְנָא ","wir",,,,,,,,,,,,
1,">NJN","אִנִּין ","sie; jene",,,,,,,,,,,,
1,">NS[","אנס ",,"bedrängen",,,,,,,,,,,
2,">NP/","אֲנַף ","Gesicht",,,,,,,,,,,,
25,">NC/","אֱנָשׁ ","Mensch; Menschengeschlecht",,,,,,,,,,,,
15,">NTH","אַנְתָּה ","du",,,,,,,,,,,,
1,">NTWN","אַנְתּוּן ","ihr",,,,,,,,,,,,
3,">SWR/","אֱסוּר ","Fessel",,,,,,,,,,,,
1,">SNPR/","אָסְנַפַּר ","Asenappar",,,,,,,,,,,,
7,">SPRN>","אָסְפַּרְנָא ","genau, pünktlich",,,,,,,,,,,,
7,">SR/","אֱסָר ","Verbot",,,,,,,,,,,,
5,"></","אָע ","Holz; Balken",,,,,,,,,,,,
4,">P","אַף ","auch",,,,,,,,,,,,
1,">PRSJ/","אֲפָרְסָי ","Perser?; <Beamtentitel>?",,,,,,,,,,,,
2,">PRSKJ/","אֲפַרְסְכָי ","Perser?; <Beamtentitel>?",,,,,,,,,,,,
1,">PRSTKJ/","אֲפַרְסַתְכָי ","<Beamtentitel>",,,,,,,,,,,,
1,">PTM/","אַפְּתֹם ","endlich?; Vorratskammer?",,,,,,,,,,,,
3,">YB</","אֶצְבַּע ","Finger; Zehe",,,,,,,,,,,,
8,">RB</","אַרְבַּע ","vier",,,,,,,,,,,,
3,">RGWN/","אַרְגְּוָן ","Purpur",,,,,,,,,,,,
5,">RW","אֲרוּ ","sieh",,,,,,,,,,,,
2,">RX/","אֲרַח ","Weg",,,,,,,,,,,,
10,">RJH/","אַרְיֵה ","Löwe",,,,,,,,,,,,
5,">RJWK/","אַרְיֹוךְ ","Arjoch",,,,,,,,,,,,
1,">RJK/","אֲרִיךְ ","passend",,,,,,,,,,,,
1,">RKBH/","אַרְכֻבָּה ","Knie",,,,,,,,,,,,
2,">RKH/","אַרְכָה ","Dauer",,,,,,,,,,,,
1,">RKWJ/","אַרְכְּוָי ","von Erech",,,,,,,,,,,,
21,">R</","אֲרַע ","Erde; gering",,,,,,,,,,,,
1,">R<J/","אַרְעִי ","Boden",,,,,,,,,,,,
1,">RQ/","אֲרַק ","Erde",,,,,,,,,,,,
6,">RTXCFT>/","אַרְתַּחְשַׁשְׂתְּא ","Artaxerxes",,,,,,,,,,,,
3,">C/","אֹשׁ ","Fundament",,,,,,,,,,,,
1,">C>/","אֶשָּׁא ","Feuer",,,,,,,,,,,,
6,">CP/","אָשַׁף ","Beschwörer",,,,,,,,,,,,
2,">CRN/","אשׁרן ","<unklar>",,,,,,,,,,,,
2,">CTDWR/","אֶשְׁתַּדּוּר ","Aufruhr",,,,,,,,,,,,
3,">T/","אָת ","Zeichen",,,,,,,,,,,,
16,">TH[","אתה ",,"kommen",,,"bringen",,,"gebracht werden",,,,,
10,">TWN/","אַתּוּן ","Ofen",,,,,,,,,,,,
5,">TR/","אֲתַר ","Ort; Spur",,,,,,,,,,,,
226,"B","בְּ ","in, durch, mit",,,,,,,,,,,,
1,"B>JC/","בִּאישׁ ","böse",,,,,,,,,,,,
1,"B>C[","באשׁ ",,"schlecht sein; missfallen",,,,,,,,,,,
3,"B>TR/","בָּאתַר ","nach",,,,,,,,,,,,
25,"BBL/","בָּבֶל ","Babylon",,,,,,,,,,,,
1,"BBLJ/","בָּבְלָי ","Babylonier",,,,,,,,,,,,
1,"BDR[","בדר ",,,,"zerstreuen",,,,,,,,,
1,"BHJLW/","בְּהִילוּ ","Eile",,,,,,,,,,,,
11,"BHL[","בהל ",,,,"erschrecken",,,,,"eilen","erschreckt werden",,,
6,"BVL[","בטל ",,"aufhören",,"aufhören lassen, hindern",,,,,,,,,
2,"BJN/","בֵּין ","zwischen",,,,,,,,,,,,
1,"BJNH/","בִּינָה ","Einsicht",,,,,,,,,,,,
1,"BJRH/","בִּירָה ","Festung",,,,,,,,,,,,
44,"BJT/","בַּיִת ","Haus",,,,,,,,,,,,
1,"BJT[","בית ",,"die Nacht verbringen",,,,,,,,,,,
1,"BL/","בָּל ","Herz, Sinn",,,,,,,,,,,,
1,"BLH[","בלה ",,,,"aufreiben",,,,,,,,,
3,"BLW/","בְּלֹו ","Abgabe",,,,,,,,,,,,
8,"BLVC>YR/","בֵּלְטְשַׁאצַּר ","Beltschazzar",,,,,,,,,,,,
7,"BLC>YR/","בֵּלְשַׁאצַּר ","Belschazzar",,,,,,,,,,,,
