"Occurrences","lex","Lexeme","Transliterated","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
9,">B/","אַב I","ʔav","father",,,,,,,,,,,,
3,">B=/","אֵב II","ʔēv","fruit",,,,,,,,,,,,
7,">BD[","אבד ","ʔVD",,"perish",,,"slay, destroy",,,"be destroyed",,,,,
8,">BN/","אֶבֶן ","ʔeven","stone",,,,,,,,,,,,
3,">GRH/","אִגְּרָה ","ʔiggᵊrāʰ","letter",,,,,,,,,,,,
57,">DJN","אֱדַיִן ","ʔᵉdayin","then",,,,,,,,,,,,
1,">DR/","אֲדָר I","ʔᵃdār","Adar <month>",,,,,,,,,,,,
1,">DR=/","אִדַּר II","ʔiddar","threshing-floor",,,,,,,,,,,,
2,">DRGZR/","אֲדַרְגָּזַר ","ʔᵃdargāzar","counsellor",,,,,,,,,,,,
1,">DRZD>","אַדְרַזְדָּא ","ʔadrazdāˀ","with zeal; correctly",,,,,,,,,,,,
1,">DR</","אֶדְרָע ","ʔedrāʕ","arm; force",,,,,,,,,,,,
2,">ZD>","אַזְדָּא ","ʔazdāˀ","promulgated",,,,,,,,,,,,
3,">ZH[","אזה ","ʔZH",,"heat, light",,,,,,,,,,,
7,">ZL[","אזל ","ʔZL",,"go",,,,,,,,,,,
1,">X/","אַח ","ʔaḥ","brother",,,,,,,,,,,,
1,">XJDH/","אֲחִידָה ","ʔᵃḥîdāʰ","riddle",,,,,,,,,,,,
1,">XMT>/","אַחְמְתָא ","ʔaḥmᵊtāˀ","Ecbatana",,,,,,,,,,,,
3,">XR/","אַחַר ","ʔaḥar","after",,,,,,,,,,,,
6,">XRJ/","אָחֳרִי I","ʔāḥᵒrî","another",,,,,,,,,,,,
1,">XRJ=/","אַחֲרִי II","ʔaḥᵃrî","end",,,,,,,,,,,,
1,">XRJN","אָחֳרֵין ","ʔāḥᵒrên","at last",,,,,,,,,,,,
5,">XRN/","אָחֳרָן ","ʔāḥᵒrān","another",,,,,,,,,,,,
9,">XCDRPN/","אֲחַשְׁדַּרְפַּן ","ʔᵃḥašdarpan","satrap",,,,,,,,,,,,
6,">JLN/","אִילָן ","ʔîlān","tree",,,,,,,,,,,,
1,">JMTNJ/","אֵימְתָנִי ","ʔêmtānî","terrible",,,,,,,,,,,,
17,">JTJ/","אִיתַי ","ʔîtay","existence; there is",,,,,,,,,,,,
7,">KL[","אכל ","ʔXL",,"eat",,,,,,,,,,,
4,">L","אַל I","ʔal","not",,,,,,,,,,,,
1,">L=","אֵל II","ʔēl","these",,,,,,,,,,,,
1,">LH","אֵלֶּה ","ʔēlleʰ","these",,,,,,,,,,,,
95,">LH/","אֱלָהּ ","ʔᵉlāh","god, God",,,,,,,,,,,,
5,">LW","אֲלוּ ","ʔᵃlû","behold",,,,,,,,,,,,
5,">LJN","אִלֵּין ","ʔillên","these",,,,,,,,,,,,
14,">LK","אִלֵּךְ ","ʔillēx","these",,,,,,,,,,,,
4,">LP/","אֲלַף ","ʔᵃlaf","thousand",,,,,,,,,,,,
4,">MH/","אַמָּה I","ʔammāʰ","cubit <measure>",,,,,,,,,,,,
8,">MH=/","אֻמָּה II","ʔummāʰ","nation",,,,,,,,,,,,
3,">MN[","אמן ","ʔMN",,,,,"trust in",,,,,,,,
3,">MR/","אִמַּר ","ʔimmar","lamb",,,,,,,,,,,,
71,">MR[","אמר ","ʔMR",,"say",,,,,,,,,,,
16,">NH","אֲנָה ","ʔᵃnāʰ","I",,,,,,,,,,,,
3,">NWN","אִנּוּן ","ʔinnûn","they; those",,,,,,,,,,,,
4,">NXN>","אֲנַחְנָא ","ʔᵃnaḥnāˀ","we",,,,,,,,,,,,
1,">NJN","אִנִּין ","ʔinnîn","they; those",,,,,,,,,,,,
1,">NS[","אנס ","ʔNS",,"oppress",,,,,,,,,,,
2,">NP/","אֲנַף ","ʔᵃnaf","face",,,,,,,,,,,,
25,">NC/","אֱנָשׁ ","ʔᵉnāš","human being; mankind",,,,,,,,,,,,
15,">NTH","אַנְתָּה ","ʔantāʰ","you",,,,,,,,,,,,
1,">NTWN","אַנְתּוּן ","ʔantûn","you",,,,,,,,,,,,
3,">SWR/","אֱסוּר ","ʔᵉsûr","bond",,,,,,,,,,,,
1,">SNPR/","אָסְנַפַּר ","ʔāsnappar","Ashurbanipal",,,,,,,,,,,,
7,">SPRN>","אָסְפַּרְנָא ","ʔāsparnāˀ","exactly",,,,,,,,,,,,
7,">SR/","אֱסָר ","ʔᵉsār","prohibition",,,,,,,,,,,,
5,"></","אָע ","ʔāʕ","wood; beam",,,,,,,,,,,,
4,">P","אַף ","ʔaf","also",,,,,,,,,,,,
1,">PRSJ/","אֲפָרְסָי ","ʔᵃfārsāʸ","Persian?; <title of officials>?",,,,,,,,,,,,
2,">PRSKJ/","אֲפַרְסְכָי ","ʔᵃfarsᵊxāʸ","Persian?; <title of officials>?",,,,,,,,,,,,
