"Occurrences","lex","Lexeme","None","Peal","Peil","Pael","Hafel","Afel","Shafel","Hofal","Hitpeel","Hitpaal","Hishtafal","Etpeel","Etpaal"
9,">B/","אַב I","(voor)vader",,,,,,,,,,,,
3,">B=/","אֵב II","fruit",,,,,,,,,,,,
7,">BD[","אבד ",,"verdwijnen",,,"ombrengen, vernietigen",,,"vernietigd worden",,,,,
8,">BN/","אֶבֶן ","steen",,,,,,,,,,,,
3,">GRH/","אִגְּרָה ","brief",,,,,,,,,,,,
57,">DJN","אֱדַיִן ","toen",,,,,,,,,,,,
1,">DR/","אֲדָר I","Adar",,,,,,,,,,,,
1,">DR=/","אִדַּר II","dorsvloer",,,,,,,,,,,,
2,">DRGZR/","אֲדַרְגָּזַר ","raadgever",,,,,,,,,,,,
1,">DRZD>","אַדְרַזְדָּא ","?, zorgvuldig",,,,,,,,,,,,
1,">DR</","אֶדְרָע ","arm, macht",,,,,,,,,,,,
2,">ZD>","אַזְדָּא ","?, vast(staand) ",,,,,,,,,,,,
3,">ZH[","אזה ",,"opstoken",,,,,,,,,,,
7,">ZL[","אזל ",,"gaan",,,,,,,,,,,
1,">X/","אַח ","broer",,,,,,,,,,,,
1,">XJDH/","אֲחִידָה ","raadsel",,,,,,,,,,,,
1,">XMT>/","אַחְמְתָא ","Ekbatana",,,,,,,,,,,,
3,">XR/","אַחַר ","na",,,,,,,,,,,,
6,">XRJ/","אָחֳרִי I","ander",,,,,,,,,,,,
1,">XRJ=/","אַחֲרִי II","einde",,,,,,,,,,,,
1,">XRJN","אָחֳרֵין ","(+עד) uiteindelijk",,,,,,,,,,,,
5,">XRN/","אָחֳרָן ","ander",,,,,,,,,,,,
9,">XCDRPN/","אֲחַשְׁדַּרְפַּן ","satraap",,,,,,,,,,,,
6,">JLN/","אִילָן ","boom",,,,,,,,,,,,
1,">JMTNJ/","אֵימְתָנִי ","angstaanjagend",,,,,,,,,,,,
17,">JTJ/","אִיתַי ","er is",,,,,,,,,,,,
7,">KL[","אכל ",,"eten",,,,,,,,,,,
4,">L","אַל I","niet",,,,,,,,,,,,
1,">L=","אֵל II","deze",,,,,,,,,,,,
1,">LH","אֵלֶּה ","deze",,,,,,,,,,,,
95,">LH/","אֱלָהּ ","God, god",,,,,,,,,,,,
5,">LW","אֲלוּ ","zie!",,,,,,,,,,,,
5,">LJN","אִלֵּין ","deze",,,,,,,,,,,,
14,">LK","אִלֵּךְ ","die",,,,,,,,,,,,
4,">LP/","אֲלַף ","duizend",,,,,,,,,,,,
4,">MH/","אַמָּה I","el",,,,,,,,,,,,
8,">MH=/","אֻמָּה II","natie",,,,,,,,,,,,
3,">MN[","אמן ",,,,,"betrouwbaar",,,,,,,,
3,">MR/","אִמַּר ","lam",,,,,,,,,,,,
71,">MR[","אמר ",,"zeggen, bevelen",,,,,,,,,,,
16,">NH","אֲנָה ","ik",,,,,,,,,,,,
3,">NWN","אִנּוּן ","zij, die",,,,,,,,,,,,
4,">NXN>","אֲנַחְנָא ","wij",,,,,,,,,,,,
1,">NJN","אִנִּין ","zij, die",,,,,,,,,,,,
1,">NS[","אנס ",,"?, hinderen, moeilijk zijn",,,,,,,,,,,
2,">NP/","אֲנַף ","gezicht",,,,,,,,,,,,
25,">NC/","אֱנָשׁ ","persoon, mensheid",,,,,,,,,,,,
15,">NTH","אַנְתָּה ","jij",,,,,,,,,,,,
1,">NTWN","אַנְתּוּן ","jullie",,,,,,,,,,,,
3,">SWR/","אֱסוּר ","keten",,,,,,,,,,,,
1,">SNPR/","אָסְנַפַּר ","Asnappar",,,,,,,,,,,,
7,">SPRN>","אָסְפַּרְנָא ","nauwkeurig",,,,,,,,,,,,
7,">SR/","אֱסָר ","verbod",,,,,,,,,,,,
5,"></","אָע ","hout, balk",,,,,,,,,,,,
4,">P","אַף ","ook",,,,,,,,,,,,
1,">PRSJ/","אֲפָרְסָי ","?, Pers, inwoner uit Sippar",,,,,,,,,,,,
2,">PRSKJ/","אֲפַרְסְכָי ","?, ambtenaar",,,,,,,,,,,,
1,">PRSTKJ/","אֲפַרְסַתְכָי ","?, ambtenaar",,,,,,,,,,,,
1,">PTM/","אַפְּתֹם ","?, zeker",,,,,,,,,,,,
3,">YB</","אֶצְבַּע ","vinger, teen",,,,,,,,,,,,
8,">RB</","אַרְבַּע ","vier",,,,,,,,,,,,
3,">RGWN/","אַרְגְּוָן ","purper(en gewaad)",,,,,,,,,,,,
5,">RW","אֲרוּ ","zie!",,,,,,,,,,,,
2,">RX/","אֲרַח ","weg",,,,,,,,,,,,
10,">RJH/","אַרְיֵה ","leeuw",,,,,,,,,,,,
5,">RJWK/","אַרְיֹוךְ ","Arjoch",,,,,,,,,,,,
1,">RJK/","אֲרִיךְ ","?, gepast",,,,,,,,,,,,
1,">RKBH/","אַרְכֻבָּה ","knie",,,,,,,,,,,,
2,">RKH/","אַרְכָה ","lengte, verlenging",,,,,,,,,,,,
1,">RKWJ/","אַרְכְּוָי ","inwoner uit Uruk",,,,,,,,,,,,
21,">R</","אֲרַע ","aarde, laag bij de grond",,,,,,,,,,,,
1,">R<J/","אַרְעִי ","bodem",,,,,,,,,,,,
1,">RQ/","אֲרַק ","aarde",,,,,,,,,,,,
6,">RTXCFT>/","אַרְתַּחְשַׁשְׂתְּא ","Artaxerxes",,,,,,,,,,,,
3,">C/","אֹשׁ ","fundering",,,,,,,,,,,,
1,">C>/","אֶשָּׁא ","vuur",,,,,,,,,,,,
6,">CP/","אָשַׁף ","bezweerder",,,,,,,,,,,,
2,">CRN/","אשׁרן ","?, timmerwerk",,,,,,,,,,,,
2,">CTDWR/","אֶשְׁתַּדּוּר ","?, opstand",,,,,,,,,,,,
3,">T/","אָת ","teken",,,,,,,,,,,,
16,">TH[","אתה ",,"(aan)komen",,,"brengen",,,"gebracht worden",,,,,
10,">TWN/","אַתּוּן ","oven",,,,,,,,,,,,
5,">TR/","אֲתַר ","plaats, spoor",,,,,,,,,,,,
226,"B","בְּ ","in, door (middel van), met",,,,,,,,,,,,
1,"B>JC/","בִּאישׁ ","slecht",,,,,,,,,,,,
1,"B>C[","באשׁ ",,"slecht zijn",,,,,,,,,,,
3,"B>TR/","בָּאתַר ","na",,,,,,,,,,,,
25,"BBL/","בָּבֶל ","Babylonië, Babel",,,,,,,,,,,,
1,"BBLJ/","בָּבְלָי ","Babyloniër",,,,,,,,,,,,
1,"BDR[","בדר ",,,,"verstrooien",,,,,,,,,
1,"BHJLW/","בְּהִילוּ ","haast",,,,,,,,,,,,
11,"BHL[","בהל ",,,,"bang maken",,,,,"haast","bang zijn",,,
6,"BVL[","בטל ",,"ophouden",,"laten ophouden",,,,,,,,,
2,"BJN/","בֵּין ","tussen",,,,,,,,,,,,
1,"BJNH/","בִּינָה ","inzicht",,,,,,,,,,,,
1,"BJRH/","בִּירָה ","vesting",,,,,,,,,,,,
44,"BJT/","בַּיִת ","overnachten",,,,,,,,,,,,
1,"BJT[","בית ",,"huis, paleis, tempel",,,,,,,,,,,
1,"BL/","בָּל ","aandacht",,,,,,,,,,,,
1,"BLH[","בלה ",,,,"uitputten",,,,,,,,,
3,"BLW/","בְּלֹו ","belasting",,,,,,,,,,,,
8,"BLVC>YR/","בֵּלְטְשַׁאצַּר ","Beltesassar",,,,,,,,,,,,
7,"BLC>YR/","בֵּלְשַׁאצַּר ","Belsassar",,,,,,,,,,,,
22,"BNH[","בנה ",,"bouwen",,,,,,,"gebouwd worden",,,,
1,"BNJN/","בִּנְיָן ","gebouw",,,,,,,,,,,,
1,"BNS[","בנס ",,"boos worden",,,,,,,,,,,
12,"B<H[","בעה ",,"(ver)zoeken",,"?, (op)zoeken",,,,,,,,,
2,"B<W/","בָּעוּ ","verzoek, smeekbede",,,,,,,,,,,,
3,"B<L/","בְּעֵל ","eigenaar, heer",,,,,,,,,,,,
1,"BQ<H/","בִּקְעָה ","vlakte",,,,,,,,,,,,
5,"BQR[","בקר ",,,,"(onder)zoeken",,,,,,"gezocht worden",,,
19,"BR/","בַּר I","veld",,,,,,,,,,,,
8,"BR=/","בַּר II","(klein)zoon, behorend tot",,,,,,,,,,,,
1,"BRK/","בְּרַךְ ","knielen",,,,,,,,,,,,
1,"BRK=[","ברך II",,"knielen",,,,,,,,,,,
4,"BRK[","ברך I",,"gezegend",,"zegenen",,,,,,,,,
5,"BRM","בְּרַם ","echter, maar",,,,,,,,,,,,
3,"BFR/","בְּשַׂר ","vlees, levende wezens",,,,,,,,,,,,
2,"BT/","בַּת ","dochter",,,,,,,,,,,,
