"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no","Aron"
1,"Ἀβαδδών",3,"no","Abaddon"
1,"ἀβαρής",4,"no","ubesværlig"
3,"ἀββά",5,"no","abba, fader"
4,"Ἅβελ",6,"no","Abel"
3,"Ἀβιά",7,"no","Abija "
1,"Ἀβιαθάρ",8,"no","Ebjatar"
1,"Ἀβιληνή",9,"no","Abilene"
2,"Ἀβιούδ",10,"no","Abiud"
73,"Ἀβραάμ",11,"no","Abraham"
9,"ἄβυσσος",12,"no","umålelig"
2,"Ἅγαβος",13,"no","Agabos"
2,"ἀγαθοεργέω",14,"no","handler godt"
9,"ἀγαθοποιέω",15,"no","handler godt"
1,"ἀγαθοποιΐα",16,"no","god handlemåde"
1,"ἀγαθοποιός",17,"no","en der handler ret"
102,"ἀγαθός",18,"no","god"
4,"ἀγαθωσύνη",19,"no","godhed"
5,"ἀγαλλίασις",20,"no","heftig glæde"
11,"ἀγαλλιάω",21,"no","jubler"
4,"ἄγαμος",22,"no","ugift"
7,"ἀγανακτέω",23,"no","klager"
1,"ἀγανάκτησις",24,"no","harme"
143,"ἀγαπάω",25,"no","modtager"
116,"ἀγάπη",26,"no","kærlighed"
61,"ἀγαπητός",27,"no","elsket"
2,"Ἁγάρ",28,"no","Hagar"
3,"ἀγγαρεύω",29,"no","afsender"
1,"ἀγγεῖον",30,"no","kar"
2,"ἀγγελία",31,"no","besked"
1,"ἀγγέλλω",518,"yes","forkynder; melder"
176,"ἄγγελος",32,"no","budbringer, engel"
1,"ἄγγος",30,"yes","kar"
7,"ἀγέλη",34,"no","hjord; skare"
1,"ἀγενεαλόγητος",35,"no","uden slægtregister"
1,"ἀγενής",36,"no","uden slægt; uadelig"
28,"ἁγιάζω",37,"no","indvier"
10,"ἁγιασμός",38,"no","indvielse; sakramente"
234,"ἅγιος",40,"no","hellig"
2,"ἁγιότης",41,"no","hellighed"
3,"ἁγιωσύνη",42,"no","hellighed"
1,"ἀγκάλη",43,"no","arm"
1,"ἄγκιστρον",44,"no","krog"
4,"ἄγκυρα",45,"no","anker"
