"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no","Aaron"
1,"Ἀβαδδών",3,"no","Abaddon"
1,"ἀβαρής",4,"no","not burdensome"
3,"ἀββά",5,"no","Father"
4,"Ἅβελ",6,"no","Abel"
3,"Ἀβιά",7,"no","Abijah"
1,"Ἀβιαθάρ",8,"no","Abiathar"
1,"Ἀβιληνή",9,"no","Abilene"
2,"Ἀβιούδ",10,"no","Abiud"
73,"Ἀβραάμ",11,"no","Abraham"
9,"ἄβυσσος",12,"no","abyss, unfathomable depth"
2,"Ἅγαβος",13,"no","Agabus"
2,"ἀγαθοεργέω",14,"no","perform good deeds"
9,"ἀγαθοποιέω",15,"no","do that which is good"
1,"ἀγαθοποιΐα",16,"no","doing of that which is good"
1,"ἀγαθοποιός",17,"no","a doer of that which is good"
102,"ἀγαθός",18,"no","good"
4,"ἀγαθωσύνη",19,"no","goodness"
5,"ἀγαλλίασις",20,"no","exultation, exhilaration"
11,"ἀγαλλιάω",21,"no","exult, am full of joy"
4,"ἄγαμος",22,"no","unmarried"
7,"ἀγανακτέω",23,"no","am angry, am incensed"
1,"ἀγανάκτησις",24,"no","indignation"
143,"ἀγαπάω",25,"no","love"
116,"ἀγάπη",26,"no","love"
61,"ἀγαπητός",27,"no","loved, beloved"
2,"Ἁγάρ",28,"no","Hagar"
3,"ἀγγαρεύω",29,"no","impress, send"
1,"ἀγγεῖον",30,"no","vessel, flask, can"
2,"ἀγγελία",31,"no","message"
1,"ἀγγέλλω",518,"yes","report, bring a report, announce"
176,"ἄγγελος",32,"no","angel, messenger"
1,"ἄγγος",30,"yes","vessel, flask, can"
7,"ἀγέλη",34,"no","flock, herd"
1,"ἀγενεαλόγητος",35,"no","of unrecorded genealogy"
1,"ἀγενής",36,"no","without family, ignoble"
28,"ἁγιάζω",37,"no","make holy, sanctify"
10,"ἁγιασμός",38,"no","sanctification, holiness"
234,"ἅγιος",40,"no","set apart, holy, sacred"
2,"ἁγιότης",41,"no","holiness"
3,"ἁγιωσύνη",42,"no","holy or sanctified state"
1,"ἀγκάλη",43,"no","arm"
1,"ἄγκιστρον",44,"no","fish-hook"
4,"ἄγκυρα",45,"no","anchor"
2,"ἄγναφος",46,"no","unshrunken, new"
2,"ἁγνεία",47,"no","purity, chastity"
7,"ἁγνίζω",48,"no","cleanse, purify"
1,"ἁγνισμός",49,"no","purification"
22,"ἀγνοέω",50,"no","do not know, am ignorant of"
1,"ἀγνόημα",51,"no","offence committed through ignorance"
4,"ἄγνοια",52,"no","ignorance"
8,"ἁγνός",53,"no","pure, chaste"
2,"ἁγνότης",54,"no","purity, chastity"
1,"ἁγνῶς",55,"no","purely, sincerely"
2,"ἀγνωσία",56,"no","ignorance"
1,"ἄγνωστος",57,"no","unknown"
11,"ἀγορά",58,"no","market-place"
30,"ἀγοράζω",59,"no","buy"
