"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no",""
1,"Ἀβαδδών",3,"no",""
1,"ἀβαρής",4,"no",""
3,"ἀββά",5,"no",""
4,"Ἅβελ",6,"no",""
3,"Ἀβιά",7,"no",""
1,"Ἀβιαθάρ",8,"no",""
1,"Ἀβιληνή",9,"no",""
2,"Ἀβιούδ",10,"no",""
73,"Ἀβραάμ",11,"no","Abraham"
9,"ἄβυσσος",12,"no","sin fondo, abismo"
2,"Ἅγαβος",13,"no",""
2,"ἀγαθοεργέω",14,"no",""
9,"ἀγαθοποιέω",15,"no",""
1,"ἀγαθοποιΐα",16,"no",""
1,"ἀγαθοποιός",17,"no",""
102,"ἀγαθός",18,"no","bueno"
4,"ἀγαθωσύνη",19,"no",""
5,"ἀγαλλίασις",20,"no",""
11,"ἀγαλλιάω",21,"no","exultar, regocijarse"
4,"ἄγαμος",22,"no",""
7,"ἀγανακτέω",23,"no",""
1,"ἀγανάκτησις",24,"no",""
143,"ἀγαπάω",25,"no","amar"
116,"ἀγάπη",26,"no","amor"
61,"ἀγαπητός",27,"no","amado, que es amado"
2,"Ἁγάρ",28,"no",""
3,"ἀγγαρεύω",29,"no",""
1,"ἀγγεῖον",30,"no",""
2,"ἀγγελία",31,"no",""
1,"ἀγγέλλω",518,"yes",""
176,"ἄγγελος",32,"no","ángel, mensajero"
1,"ἄγγος",30,"yes",""
7,"ἀγέλη",34,"no",""
1,"ἀγενεαλόγητος",35,"no",""
1,"ἀγενής",36,"no",""
28,"ἁγιάζω",37,"no","hacer santo, santificar"
10,"ἁγιασμός",38,"no","santificación, santidad, consagración"
234,"ἅγιος",40,"no","apartado, santo, sagrado"
2,"ἁγιότης",41,"no",""
3,"ἁγιωσύνη",42,"no",""
1,"ἀγκάλη",43,"no",""
1,"ἄγκιστρον",44,"no",""
4,"ἄγκυρα",45,"no",""
2,"ἄγναφος",46,"no",""
2,"ἁγνεία",47,"no",""
7,"ἁγνίζω",48,"no",""
1,"ἁγνισμός",49,"no",""
22,"ἀγνοέω",50,"no","no saber, no conocer"
1,"ἀγνόημα",51,"no",""
4,"ἄγνοια",52,"no",""
8,"ἁγνός",53,"no",""
2,"ἁγνότης",54,"no",""
1,"ἁγνῶς",55,"no",""
2,"ἀγνωσία",56,"no",""
1,"ἄγνωστος",57,"no",""
11,"ἀγορά",58,"no","plaza, mercado"
30,"ἀγοράζω",59,"no","comprar"
2,"ἀγοραῖος",60,"no",""
2,"ἄγρα",61,"no",""
1,"ἀγράμματος",62,"no",""
1,"ἀγραυλέω",63,"no",""
1,"ἀγρεύω",64,"no",""
2,"ἀγριέλαιος",65,"no",""
3,"ἄγριος",66,"no",""
11,"Ἀγρίππας",67,"no","Agripa"
36,"ἀγρός",68,"no","campo, tierra, tierra no cultvada, descampado"
4,"ἀγρυπνέω",69,"no",""
2,"ἀγρυπνία",70,"no",""
69,"ἄγω",71,"no","dirigir, conducir"
1,"ἀγωγή",72,"no",""
6,"ἀγών",73,"no",""
1,"ἀγωνία",74,"no",""
8,"ἀγωνίζομαι",75,"no",""
9,"Ἀδάμ",76,"no",""
1,"ἀδάπανος",77,"no",""
1,"Ἀδδί",78,"no",""
26,"ἀδελφή",79,"no","hermana"
343,"ἀδελφός",80,"no","hermano"
2,"ἀδελφότης",81,"no",""
2,"ἄδηλος",82,"no",""
1,"ἀδηλότης",83,"no",""
1,"ἀδήλως",84,"no",""
3,"ἀδημονέω",85,"no",""
1,"ἀδιάκριτος",87,"no",""
2,"ἀδιάλειπτος",88,"no",""
4,"ἀδιαλείπτως",89,"no",""
28,"ἀδικέω",91,"no","dañar, perjudicar, hacer injusticia "
3,"ἀδίκημα",92,"no",""
25,"ἀδικία",93,"no","injusticia, impiedad"
12,"ἄδικος",94,"no","injusto"
1,"ἀδίκως",95,"no",""
1,"ἀδμίν",284,"yes",""
8,"ἀδόκιμος",96,"no",""
1,"ἄδολος",97,"no",""
1,"Ἀδραμυττηνός",98,"no",""
1,"Ἀδρίας",99,"no",""
1,"ἁδρότης",100,"no",""
2,"ἀδυνατέω",101,"no",""
10,"ἀδύνατος",102,"no","imposible, incapaz"
7,"ἀεί",104,"no",""
5,"ἀετός",105,"no",""
9,"ἄζυμος",106,"no",""
2,"Ἀζώρ",107,"no",""
1,"Ἄζωτος",108,"no",""
7,"ἀήρ",109,"no",""
3,"ἀθανασία",110,"no",""
2,"ἀθέμιτος",111,"no",""
1,"ἄθεος",112,"no",""
2,"ἄθεσμος",113,"no",""
16,"ἀθετέω",114,"no","rechazar"
2,"ἀθέτησις",115,"no",""
4,"Ἀθῆναι",116,"no",""
2,"Ἀθηναῖος",117,"no",""
2,"ἀθλέω",118,"no",""
1,"ἄθλησις",119,"no",""
1,"ἀθροίζω",4867,"yes",""
1,"ἀθυμέω",120,"no",""
2,"ἀθῷος",121,"no",""
1,"αἴγειος",122,"no",""
6,"αἰγιαλός",123,"no",""
5,"Αἰγύπτιος",124,"no",""
25,"Αἴγυπτος",125,"no","Egipto"
2,"ἀΐδιος",126,"no",""
1,"αἰδώς",127,"no",""
2,"Αἰθίοψ",128,"no",""
97,"αἷμα",129,"no","sangre"
1,"αἱματεκχυσία",130,"no",""
1,"αἱμορροέω",131,"no",""
2,"Αἰνέας",132,"no",""
1,"αἴνεσις",133,"no",""
8,"αἰνέω",134,"no",""
1,"αἴνιγμα",135,"no",""
2,"αἶνος",136,"no",""
1,"Αἰνών",137,"no",""
9,"αἵρεσις",139,"no",""
1,"αἱρετίζω",140,"no",""
1,"αἱρετικός",141,"no",""
3,"αἱρέω",138,"no",""
101,"αἴρω",142,"no","levantar"
1,"αἰσθάνομαι",143,"no",""
1,"αἴσθησις",144,"no",""
1,"αἰσθητήριον",145,"no",""
2,"αἰσχροκερδής",146,"no",""
1,"αἰσχροκερδῶς",147,"no",""
1,"αἰσχρολογία",148,"no",""
4,"αἰσχρός",150,"no",""
1,"αἰσχρότης",151,"no",""
6,"αἰσχύνη",152,"no",""
5,"αἰσχύνω",153,"no",""
70,"αἰτέω",154,"no","pedir, suplicar, rogar"
3,"αἴτημα",155,"no",""
20,"αἰτία",156,"no","causa, razón, acusación"
5,"αἴτιος",159,"no",""
1,"αἰτίωμα",157,"no",""
2,"αἰφνίδιος",160,"no",""
3,"αἰχμαλωσία",161,"no",""
1,"αἰχμαλωτεύω",162,"no",""
4,"αἰχμαλωτίζω",163,"no",""
1,"αἰχμάλωτος",164,"no",""
124,"αἰών",165,"no","siglo, ciclo de tiempo"
71,"αἰώνιος",166,"no","eterno, para siempre"
10,"ἀκαθαρσία",167,"no","impureza, suciedad"
31,"ἀκάθαρτος",169,"no","sucio, impuro"
1,"ἀκαιρέομαι",170,"no",""
1,"ἀκαίρως",171,"no",""
2,"ἄκακος",172,"no",""
14,"ἄκανθα",173,"no","espina"
2,"ἀκάνθινος",174,"no",""
7,"ἄκαρπος",175,"no",""
1,"ἀκατάγνωστος",176,"no",""
2,"ἀκατακάλυπτος",177,"no",""
2,"ἀκατάκριτος",178,"no",""
1,"ἀκατάλυτος",179,"no",""
1,"ἀκατάπαυστος",180,"no",""
5,"ἀκαταστασία",181,"no",""
2,"ἀκατάστατος",182,"no",""
1,"Ἁκελδαμάχ",184,"no",""
3,"ἀκέραιος",185,"no",""
1,"ἀκλινής",186,"no",""
1,"ἀκμάζω",187,"no",""
1,"ἀκμήν",188,"no",""
24,"ἀκοή",189,"no","escuchar, poder escuchar, oído"
90,"ἀκολουθέω",190,"no","acompañar, atender, seguir"
428,"ἀκούω",191,"no","escuchar, oír"
2,"ἀκρασία",192,"no",""
1,"ἀκρατής",193,"no",""
1,"ἄκρατος",194,"no",""
1,"ἀκρίβεια",195,"no",""
1,"ἀκριβής",196,"no",""
2,"ἀκριβόω",198,"no",""
9,"ἀκριβῶς",199,"no",""
4,"ἀκρίς",200,"no",""
1,"ἀκροατήριον",201,"no",""
4,"ἀκροατής",202,"no",""
20,"ἀκροβυστία",203,"no","prepucio"
2,"ἀκρογωνιαῖος",204,"no",""
1,"ἀκροθίνιον",205,"no",""
6,"ἄκρον",206,"no",""
6,"Ἀκύλας",207,"no",""
3,"ἀκυρόω",208,"no",""
1,"ἀκωλύτως",209,"no",""
1,"ἄκων",210,"no",""
4,"ἀλάβαστρος",211,"no",""
2,"ἀλαζονεία",212,"no",""
2,"ἀλαζών",213,"no",""
2,"ἀλαλάζω",214,"no",""
1,"ἀλάλητος",215,"no",""
3,"ἄλαλος",216,"no",""
8,"ἅλας",217,"no",""
9,"ἀλείφω",218,"no",""
1,"ἀλεκτοροφωνία",219,"no",""
11,"ἀλέκτωρ",220,"no","gallo"
2,"Ἀλεξανδρεύς",221,"no",""
2,"Ἀλεξανδρῖνος",222,"no",""
6,"Ἀλέξανδρος",223,"no",""
2,"ἄλευρον",224,"no",""
109,"ἀλήθεια",225,"no","verdad"
2,"ἀληθεύω",226,"no",""
26,"ἀληθής",227,"no","verdadero"
28,"ἀληθινός",228,"no","verdadero, genuino, real"
2,"ἀλήθω",229,"no",""
18,"ἀληθῶς",230,"no","verdaderamente, ciertamente, en realidad"
5,"ἁλιεύς",231,"no",""
1,"ἁλιεύω",232,"no",""
2,"ἁλίζω",233,"no",""
1,"ἀλίσγημα",234,"no",""
638,"ἀλλά",235,"no","pero, excepto"
6,"ἀλλάσσω",236,"no",""
1,"ἀλλαχόθεν",237,"no",""
1,"ἀλλαχοῦ",237,"yes",""
1,"ἀλληγορέω",238,"no",""
4,"ἁλληλουϊά",239,"no",""
100,"ἀλλήλων",240,"no","unos a otros, mutuamente, entre si"
1,"ἀλλογενής",241,"no",""
3,"ἅλλομαι",242,"no",""
154,"ἄλλος",243,"no","otro, otra, diferente"
1,"ἀλλοτριεπίσκοπος",244,"no",""
14,"ἀλλότριος",245,"no","ajeno, de otro, extranjero"
1,"ἀλλόφυλος",246,"no",""
1,"ἄλλως",247,"no",""
3,"ἀλοάω",248,"no",""
3,"ἄλογος",249,"no",""
1,"ἀλόη",250,"no",""
1,"ἁλυκός",252,"no",""
1,"ἄλυπος",253,"no",""
11,"ἅλυσις",254,"no","cadena"
1,"ἀλυσιτελής",255,"no",""
3,"ἄλφα",1,"no",""
5,"Ἁλφαῖος",256,"no",""
2,"ἅλων",257,"no",""
3,"ἀλώπηξ",258,"no",""
1,"ἅλωσις",259,"no",""
10,"ἅμα",260,"no","al mismo tiempo, junto con (dat)"
1,"ἀμαθής",261,"no",""
1,"ἀμαράντινος",262,"no",""
1,"ἀμάραντος",263,"no",""
43,"ἁμαρτάνω",264,"no","pecar"
4,"ἁμάρτημα",265,"no",""
173,"ἁμαρτία",266,"no","pecado"
1,"ἀμάρτυρος",267,"no",""
47,"ἁμαρτωλός",268,"no","pecando, pecaminoso, pecador"
2,"ἄμαχος",269,"no",""
1,"ἀμάω",270,"no",""
1,"ἀμέθυστος",271,"no",""
4,"ἀμελέω",272,"no",""
5,"ἄμεμπτος",273,"no",""
2,"ἀμέμπτως",274,"no",""
2,"ἀμέριμνος",275,"no",""
2,"ἀμετάθετος",276,"no",""
1,"ἀμετακίνητος",277,"no",""
2,"ἀμεταμέλητος",278,"no",""
1,"ἀμετανόητος",279,"no",""
2,"ἄμετρος",280,"no",""
126,"ἀμήν",281,"no","verdaderamente, amén, así sea"
1,"ἀμήτωρ",282,"no",""
4,"ἀμίαντος",283,"no",""
3,"Ἀμιναδάβ",284,"no",""
5,"ἄμμος",285,"no",""
4,"ἀμνός",286,"no",""
1,"ἀμοιβή",287,"no",""
9,"ἄμπελος",288,"no",""
1,"ἀμπελουργός",289,"no",""
23,"ἀμπελών",290,"no","viña, viñedo"
1,"Ἀμπλιᾶτος",291,"no",""
1,"ἀμύνομαι",292,"no",""
1,"ἀμφιβάλλω",906,"yes",""
1,"ἀμφίβληστρον",293,"no",""
1,"ἀμφιέζω",294,"yes",""
3,"ἀμφιέννυμι",294,"no",""
1,"Ἀμφίπολις",295,"no",""
1,"ἄμφοδον",296,"no",""
14,"ἀμφότεροι",297,"no","ambos"
1,"ἀμώμητος",298,"no",""
1,"ἄμωμον",299,"yes",""
8,"ἄμωμος",299,"no",""
3,"Ἀμώς",301,"no",""
164,"ἄν",302,"no","partícula intraducible; modifica el valor de los verbos a los que se une"
13,"ἀνά",303,"no","y, cada, por, cada uno, en, a través"
2,"ἀναβαθμός",304,"no",""
81,"ἀναβαίνω",305,"no","subir, ascender"
1,"ἀναβάλλω",306,"no",""
1,"ἀναβιβάζω",307,"no",""
25,"ἀναβλέπω",308,"no","dirigir la mirada; recobrar la vista"
1,"ἀνάβλεψις",309,"no",""
1,"ἀναβοάω",310,"no",""
1,"ἀναβολή",311,"no",""
2,"ἀνάγαιον",508,"no",""
13,"ἀναγγέλλω",312,"no","anunciar, reportar"
2,"ἀναγεννάω",313,"no",""
32,"ἀναγινώσκω",314,"no","leer"
9,"ἀναγκάζω",315,"no",""
