"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no","Aaron"
1,"Ἀβαδδών",3,"no","Abaddon"
1,"ἀβαρής",4,"no","não onerosa"
3,"ἀββά",5,"no","Pai"
4,"Ἅβελ",6,"no","Abel"
3,"Ἀβιά",7,"no","Abijah"
1,"Ἀβιαθάρ",8,"no","Abiathar"
1,"Ἀβιληνή",9,"no","Abilene"
2,"Ἀβιούδ",10,"no","Abiud"
73,"Ἀβραάμ",11,"no","Abraão"
9,"ἄβυσσος",12,"no","abismo, profundidade insondável"
2,"Ἅγαβος",13,"no","Agabus"
2,"ἀγαθοεργέω",14,"no","Eu não sei, eu sou ignorante de"
9,"ἀγαθοποιέω",15,"no","Eu não sei, eu sou ignorante de"
1,"ἀγαθοποιΐα",16,"no","fazendo do que é bom"
1,"ἀγαθοποιός",17,"no","um porador daquilo que é bom"
102,"ἀγαθός",18,"no","bom, reto"
4,"ἀγαθωσύνη",19,"no","bondade"
5,"ἀγαλλίασις",20,"no","Exultação, alegria"
11,"ἀγαλλιάω",21,"no","eu exulto"
4,"ἄγαμος",22,"no","solteira"
7,"ἀγανακτέω",23,"no","Estou com raiva, estou incenso"
1,"ἀγανάκτησις",24,"no","indignação"
143,"ἀγαπάω",25,"no","eu amo"
116,"ἀγάπη",26,"no","amor"
61,"ἀγαπητός",27,"no","amado"
2,"Ἁγάρ",28,"no","Hagar"
3,"ἀγγαρεύω",29,"no","Eu estou impressionando, eu envio"
1,"ἀγγεῖον",30,"no","embarcação, frasco, pode"
2,"ἀγγελία",31,"no","mensagem"
1,"ἀγγέλλω",518,"yes","Eu relato, trago um relatório, anuncio"
176,"ἄγγελος",32,"no","mensageiro, anjo"
1,"ἄγγος",30,"yes","embarcação, frasco, pode"
7,"ἀγέλη",34,"no","rebanho, rebanho"
1,"ἀγενεαλόγητος",35,"no","de genealogia não registrada"
1,"ἀγενής",36,"no","Sem família, ignóbil"
28,"ἁγιάζω",37,"no","eu santifico, eu torno santo, eu torno santa"
10,"ἁγιασμός",38,"no","santificação, santidade"
234,"ἅγιος",40,"no","santo, sagrado, separado"
2,"ἁγιότης",41,"no","santidade"
3,"ἁγιωσύνη",42,"no","Estado sagrado ou santificado"
1,"ἀγκάλη",43,"no","braço"
1,"ἄγκιστρον",44,"no","anzol"
4,"ἄγκυρα",45,"no","âncora"
2,"ἄγναφος",46,"no","Unshrunken, novo"
2,"ἁγνεία",47,"no","pureza, castidade"
7,"ἁγνίζω",48,"no","Eu limpei, eu purifique"
1,"ἁγνισμός",49,"no","purificação"
22,"ἀγνοέω",50,"no","eu não sei, eu ignoro"
1,"ἀγνόημα",51,"no","ofensa cometida através da ignorância"
4,"ἄγνοια",52,"no","ignorância"
8,"ἁγνός",53,"no","puro, casto"
2,"ἁγνότης",54,"no","pureza, castidade"
1,"ἁγνῶς",55,"no","puramente, sinceramente"
