"Occurrences","Lexeme","Strong's number","Strong's unreliable?","Gloss"
5,"Ἀαρών",2,"no","haruni"
1,"Ἀβαδδών",3,"no","uharibifu, haun, viko"
1,"ἀβαρής",4,"no","mahitaji"
3,"ἀββά",5,"no","baba, babaye, babaze, mababa, babangu"
4,"Ἅβελ",6,"no","habili, mchunga"
3,"Ἀβιά",7,"no","abiya, abia"
1,"Ἀβιαθάρ",8,"no","abiathari, neneni"
1,"Ἀβιληνή",9,"no","abilene"
2,"Ἀβιούδ",10,"no","abihudi"
73,"Ἀβραάμ",11,"no","abrahamu"
9,"ἄβυσσος",12,"no","lind, kuzimu, viku, bahari, lindin"
2,"Ἅγαβος",13,"no","agabo"
2,"ἀγαθοεργέω",14,"no","mema, wema, vema, njem, jema"
9,"ἀγαθοποιέω",15,"no","mema, wema, vema, njem, jema"
1,"ἀγαθοποιΐα",16,"no","ndiz"
1,"ἀγαθοποιός",17,"no","ndiz"
102,"ἀγαθός",18,"no","mema, wema, vema, njem, jema"
4,"ἀγαθωσύνη",19,"no","mema, wema, vema, njem, jema"
5,"ἀγαλλίασις",20,"no","furaha, shangwe, furah, furahi"
11,"ἀγαλλιάω",21,"no","furah, furahi, furaha, furahini, salamu"
4,"ἄγαμος",22,"no","olew, mume, kuoa, mwo, kumwoa"
7,"ἀγανακτέω",23,"no","kali, ghadhabu, hasira, kasirik, waka"
1,"ἀγανάκτησις",24,"no","kali, ghadhabu, hasira, kasirik, waka"
143,"ἀγαπάω",25,"no","pend, penda, mapenzi, rafik, wapenzi"
116,"ἀγάπη",26,"no","pend, penda, mapenzi, rafik, wapenzi"
61,"ἀγαπητός",27,"no","pend, wapenzi, mpenzi, mjomba, mdog"
2,"Ἁγάρ",28,"no","hajiri"
3,"ἀγγαρεύω",29,"no","udhalimu, jeur, nguvu, dhuluma, uharibifu"
1,"ἀγγεῖον",30,"no","vyombo, ila, chombo, kitu, mtungi"
2,"ἀγγελία",31,"no","malaika, wajumbe, mjumbe, mwanzo, mkiisikiliza"
1,"ἀγγέλλω",518,"yes","habari, pash, arif, hubiri, elez"
176,"ἄγγελος",32,"no","malaika, mjumbe, wajumbe"
1,"ἄγγος",30,"yes","vyombo, ila, chombo, kitu, mtungi"
7,"ἀγέλη",34,"no","nguruwe, ukitutoa"
1,"ἀγενεαλόγητος",35,"no","nasaba"
1,"ἀγενής",36,"no","chini, shush, ingi, mnyenyekevu, duni"
28,"ἁγιάζω",37,"no","taka, wakf, kabisa, teng, taji"
10,"ἁγιασμός",38,"no","takatif, patakatifu, taka, mtakatifu, vitu"
234,"ἅγιος",40,"no","mtakatifu, taka, takatif, patakatifu, opendez"
2,"ἁγιότης",41,"no","takatif, patakatifu, taka, mtakatifu, vitu"
3,"ἁγιωσύνη",42,"no","takatif, patakatifu, taka, mtakatifu, vitu"
1,"ἀγκάλη",43,"no","mkono, mikono, mwake, mikononi, wenye"
1,"ἄγκιστρον",44,"no","ndoana, azukaye"
4,"ἄγκυρα",45,"no","nang"
2,"ἄγναφος",46,"no","atiaye, kuuku"
2,"ἁγνεία",47,"no","safi, taka, usaf, chaguli, kat"
7,"ἁγνίζω",48,"no","safi, taka, usaf, chaguli, kat"
1,"ἁγνισμός",49,"no","safi, taka, usaf, chaguli, kat"
22,"ἀγνοέω",50,"no","ujinga, faham, msijue, julikan, mkos"
1,"ἀγνόημα",51,"no","anga, upotevu, kosa, acha, unitakase"
4,"ἄγνοια",52,"no","ujinga, faham, msijue, julikan, mkos"
8,"ἁγνός",53,"no","safi, taka, usaf, chaguli, kat"
2,"ἁγνότης",54,"no","safi, taka, usaf, chaguli, kat"
1,"ἁγνῶς",55,"no","safi, taka, usaf, chaguli, kat"
2,"ἀγνωσία",56,"no","ujinga, faham, msijue, julikan, mkos"
1,"ἄγνωστος",57,"no","asiyejulikana"
11,"ἀγορά",58,"no","sokon, ovyo"
30,"ἀγοράζω",59,"no","nunu, nunuli, tununue, nunua, jinunu"
2,"ἀγοραῖος",60,"no","sokon, ovyo"
2,"ἄγρα",61,"no","shik, kamat, nas, mvue, mdog"
1,"ἀγράμματος",62,"no","elim"
1,"ἀγραυλέω",63,"no","nje, mto, yanihusu"
1,"ἀγρεύω",64,"no","shik, kamat, nas, mvue, mdog"
2,"ἀγριέλαιος",65,"no","mizeituni, mzeituni, mafuta, zeituni"
3,"ἄγριος",66,"no","yakitoa"
11,"Ἀγρίππας",67,"no","agripa, wawaamini"
36,"ἀγρός",68,"no","shamb, shamban, konden, lim, nchi"
4,"ἀγρυπνέω",69,"no","mlinzi, lind, walinzi, shik, angali"
2,"ἀγρυπνία",70,"no","fitina, masumbufu"
69,"ἄγω",71,"no","let, pelek, lete, tanguli, chuku"
1,"ἀγωγή",72,"no","mwenendo"
6,"ἀγών",73,"no","vita, juhudi, rung, kufanya, tishw"
1,"ἀγωνία",74,"no","shinda, jitahidini, piga, ishi, twajitaabisha"
8,"ἀγωνίζομαι",75,"no","shinda, jitahidini, piga, ishi, twajitaabisha"
9,"Ἀδάμ",76,"no","adamu"
1,"ἀδάπανος",77,"no","huru, uhur, paw, bure, muungwana"
1,"Ἀδδί",78,"no","adi"
26,"ἀδελφή",79,"no","dada, nduguye, ndugu, kike, hili"
343,"ἀδελφός",80,"no","ndugu, nduguye, nduguze, nduguyo, kaka"
2,"ἀδελφότης",81,"no","ndugu, nduguye, nduguze, nduguyo, kaka"
2,"ἄδηλος",82,"no","ikitoa, fanan"
1,"ἀδηλότης",83,"no","uwaagize"
1,"ἀδήλως",84,"no","hewa"
3,"ἀδημονέω",85,"no","mabaya, uovu, taab, shid, dhik"
1,"ἀδιάκριτος",87,"no","hain"
2,"ἀδιάλειπτος",88,"no","daim, zot, zote, dum, sadaka"
4,"ἀδιαλείπτως",89,"no","kukoma"
28,"ἀδικέω",91,"no","dhur, dhar, dhulum, mabaya, nidhulum"
3,"ἀδίκημα",92,"no","wahalifu, maov, lolio, tesw, ngeku"
