"alphabetic_order","Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1,1217,">B/","אָב I","ʔāv","አባት",,,,,,,,,,,,,,,,
2,2,">B=/","אֵב II","ʔēv",,,,,,,,,,,,,,,,,
3,1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ",,,,,,,,,,,,,,,,,
4,186,">BD[","אבד ","ʔVD",,"መጥፋት",,"መደምሰስ",,,"መወገድ",,,,,,,,,,
5,4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ",,,,,,,,,,,,,,,,,
6,1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ",,,,,,,,,,,,,,,,,
7,5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn",,,,,,,,,,,,,,,,,
8,1,">BDN/","אַבְדָן I","ʔavdān",,,,,,,,,,,,,,,,,
9,1,">BDN=/","אָבְדָן II","ʔāvdān",,,,,,,,,,,,,,,,,
10,1,">BH/","אֵבֶה ","ʔēveʰ",,,,,,,,,,,,,,,,,
11,54,">BH[","אבה ","ʔVH",,,,,,,,,,,,,,,,,
12,1,">BWJ/","אֲבֹוי ","ʔᵃvôy",,,,,,,,,,,,,,,,,
13,3,">BWS/","אֵבוּס ","ʔēvûs",,,,,,,,,,,,,,,,,
14,1,">BXH/","אִבְחָה ","ʔivḥāʰ",,,,,,,,,,,,,,,,,
15,1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ",,,,,,,,,,,,,,,,,
16,1,">BJ/","אֲבִי ","ʔᵃvî",,,,,,,,,,,,,,,,,
17,1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn",,,,,,,,,,,,,,,,,
18,3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl",,,,,,,,,,,,,,,,,
19,1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf",,,,,,,,,,,,,,,,,
20,8,">BJB/","אָבִיב ","ʔāvîv",,,,,,,,,,,,,,,,,
21,17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil",,,,,,,,,,,,,,,,,
22,5,">BJDN/","אֲבִידָן ","ʔᵃvîdān",,,,,,,,,,,,,,,,,
23,2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ",,,,,,,,,,,,,,,,,
24,23,">BJH/","אֲבִיָּה ","ʔᵃviyyāʰ",,,,,,,,,,,,,,,,,
25,2,">BJHW/","אֲבִיָּהוּ ","ʔᵃviyyāhû",,,,,,,,,,,,,,,,,
26,12,">BJHW>/","אֲבִיהוּא ","ʔᵃvîhûˀ",,,,,,,,,,,,,,,,,
27,1,">BJHWD/","אֲבִיהוּד ","ʔᵃvîhûd",,,,,,,,,,,,,,,,,
28,2,">BJHJL/","אֲבִיהַיִל ","ʔᵃvîhayil",,,,,,,,,,,,,,,,,
29,61,">BJWN/","אֶבְיֹון ","ʔevyôn",,,,,,,,,,,,,,,,,
30,1,">BJWNH/","אֲבִיֹּונָה ","ʔᵃviyyônāʰ",,,,,,,,,,,,,,,,,
31,4,">BJXJL/","אֲבִיחַיִל ","ʔᵃvîḥayil",,,,,,,,,,,,,,,,,
32,1,">BJVWB/","אֲבִיטוּב ","ʔᵃvîṭûv",,,,,,,,,,,,,,,,,
33,2,">BJVL/","אֲבִיטָל ","ʔᵃvîṭāl",,,,,,,,,,,,,,,,,
34,5,">BJM/","אֲבִיָּם ","ʔᵃviyyām",,,,,,,,,,,,,,,,,
35,2,">BJM>L/","אֲבִימָאֵל ","ʔᵃvîmāʔēl",,,,,,,,,,,,,,,,,
36,67,">BJMLK/","אֲבִימֶלֶךְ ","ʔᵃvîmelex",,,,,,,,,,,,,,,,,
37,13,">BJNDB/","אֲבִינָדָב ","ʔᵃvînādāv",,,,,,,,,,,,,,,,,
38,4,">BJN<M/","אֲבִינֹעַם ","ʔᵃvînōʕam",,,,,,,,,,,,,,,,,
39,3,">BJSP/","אֶבְיָסָף ","ʔevyāsāf",,,,,,,,,,,,,,,,,
40,7,">BJ<ZR/","אֲבִיעֶזֶר ","ʔᵃvîʕezer",,,,,,,,,,,,,,,,,
41,16,">BJR/","אַבִּיר I","ʔabbîr",,,,,,,,,,,,,,,,,
42,6,">BJR=/","אָבִיר II","ʔāvîr",,,,,,,,,,,,,,,,,
43,11,">BJRM/","אֲבִירָם ","ʔᵃvîrām",,,,,,,,,,,,,,,,,
44,5,">BJCG/","אֲבִישַׁג ","ʔᵃvîšag",,,,,,,,,,,,,,,,,
45,5,">BJCW</","אֲבִישׁוּעַ ","ʔᵃvîšûₐʕ",,,,,,,,,,,,,,,,,
46,2,">BJCWR/","אֲבִישׁוּר ","ʔᵃvîšûr",,,,,,,,,,,,,,,,,
47,19,">BJCJ/","אֲבִישַׁי ","ʔᵃvîšay",,,,,,,,,,,,,,,,,
48,2,">BJCLWM/","אֲבִישָׁלֹום ","ʔᵃvîšālôm",,,,,,,,,,,,,,,,,
49,30,">BJTR/","אֶבְיָתָר ","ʔevyātār",,,,,,,,,,,,,,,,,
50,1,">BK[","אבך ","ʔVX",,,,,,,,,,,,,,,,,
51,11,">BL","אֲבָל ","ʔᵃvāl",,,,,,,,,,,,,,,,,
52,3,">BL/","אָבֵל I","ʔāvēl",,,,,,,,,,,,,,,,,
53,1,">BL=/","אָבֵל II","ʔāvēl",,,,,,,,,,,,,,,,,
54,24,">BL==/","אֵבֶל III","ʔēvel",,,,,,,,,,,,,,,,,
55,8,">BL===/","אָבֵל IV","ʔāvēl",,,,,,,,,,,,,,,,,
56,3,">BL====/","אֻבָל V","ʔuvāl",,,,,,,,,,,,,,,,,
57,3,">BL=[","אבל II","ʔVL",,,,,,,,,,,,,,,,,
58,36,">BL[","אבל I","ʔVL",,,,,,,,,,,,,,,,,
59,2,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ","ʔāvēl bêt maʕᵃxāʰ",,,,,,,,,,,,,,,,,
60,1,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ","ʔāvēl haššiṭṭîm",,,,,,,,,,,,,,,,,
61,1,">BL_KRMJM/","אָבֵל כְּרָמִים ","ʔāvēl kᵊrāmîm",,,,,,,,,,,,,,,,,
62,3,">BL_MXWLH/","אָבֵל מְחֹולָה ","ʔāvēl mᵊḥôlāʰ",,,,,,,,,,,,,,,,,
