"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","far",,,,,,,,,,,,,,,,
2,">B=/","אֵב II",,,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ",,,,,,,,,,,,,,,,,
186,">BD[","אבד ",,"gå til grunde",,,,,,,,,,,,,,,
4,">BDH/","אֲבֵדָה I",,,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II",,,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ",,,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I",,,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II",,,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ",,,,,,,,,,,,,,,,,
54,">BH[","אבה ",,,,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ",,,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ",,,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ",,,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ",,,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ",,,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ",,,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ",,,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ",,,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ",,,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ",,,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ",,,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ",,,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ",,,,,,,,,,,,,,,,,
2,">BJHW/","אֲבִיָּהוּ ",,,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ",,,,,,,,,,,,,,,,,
1,">BJHWD/","אֲבִיהוּד ",,,,,,,,,,,,,,,,,
2,">BJHJL/","אֲבִיהַיִל ",,,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","fattig, undertrykt",,,,,,,,,,,,,,,,
1,">BJWNH/","אֲבִיֹּונָה ",,,,,,,,,,,,,,,,,
4,">BJXJL/","אֲבִיחַיִל ",,,,,,,,,,,,,,,,,
1,">BJVWB/","אֲבִיטוּב ",,,,,,,,,,,,,,,,,
2,">BJVL/","אֲבִיטָל ",,,,,,,,,,,,,,,,,
5,">BJM/","אֲבִיָּם ",,,,,,,,,,,,,,,,,
2,">BJM>L/","אֲבִימָאֵל ",,,,,,,,,,,,,,,,,
67,">BJMLK/","אֲבִימֶלֶךְ ",,,,,,,,,,,,,,,,,
13,">BJNDB/","אֲבִינָדָב ",,,,,,,,,,,,,,,,,
4,">BJN<M/","אֲבִינֹעַם ",,,,,,,,,,,,,,,,,
3,">BJSP/","אֶבְיָסָף ",,,,,,,,,,,,,,,,,
7,">BJ<ZR/","אֲבִיעֶזֶר ",,,,,,,,,,,,,,,,,
16,">BJR/","אַבִּיר I","stærk, magtfuld",,,,,,,,,,,,,,,,
6,">BJR=/","אָבִיר II",,,,,,,,,,,,,,,,,
11,">BJRM/","אֲבִירָם ",,,,,,,,,,,,,,,,,
5,">BJCG/","אֲבִישַׁג ","Abishag",,,,,,,,,,,,,,,,
5,">BJCW</","אֲבִישׁוּעַ ",,,,,,,,,,,,,,,,,
2,">BJCWR/","אֲבִישׁוּר ",,,,,,,,,,,,,,,,,
19,">BJCJ/","אֲבִישַׁי ",,,,,,,,,,,,,,,,,
2,">BJCLWM/","אֲבִישָׁלֹום ",,,,,,,,,,,,,,,,,
30,">BJTR/","אֶבְיָתָר ","Ebjatar",,,,,,,,,,,,,,,,
1,">BK[","אבך ",,,,,,,,,,,,,,,,,
11,">BL","אֲבָל ","sandelig; men, imidlertid",,,,,,,,,,,,,,,,
3,">BL/","אָבֵל I",,,,,,,,,,,,,,,,,
1,">BL=/","אָבֵל II",,,,,,,,,,,,,,,,,
24,">BL==/","אֵבֶל III",,,,,,,,,,,,,,,,,
8,">BL===/","אָבֵל IV",,,,,,,,,,,,,,,,,
3,">BL====/","אֻבָל V",,,,,,,,,,,,,,,,,
3,">BL=[","אבל II",,,,,,,,,,,,,,,,,
36,">BL[","אבל I",,,,,,,,,,,,,,,,,
2,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ",,,,,,,,,,,,,,,,,
1,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ",,,,,,,,,,,,,,,,,
1,">BL_KRMJM/","אָבֵל כְּרָמִים ",,,,,,,,,,,,,,,,,
3,">BL_MXWLH/","אָבֵל מְחֹולָה ",,,,,,,,,,,,,,,,,
1,">BL_MJM/","אָבֵל מָיִם ",,,,,,,,,,,,,,,,,
1,">BL_MYRJM/","אָבֵל מִצְרַיִם ",,,,,,,,,,,,,,,,,
273,">BN/","אֶבֶן I","sten",,,,,,,,,,,,,,,,
2,">BN=/","אֹבֶן II",,,,,,,,,,,,,,,,,
3,">BN_H<ZR/","אֶבֶן הָעֵזֶר ",,,,,,,,,,,,,,,,,
9,">BNV/","אַבְנֵט ","bælte",,,,,,,,,,,,,,,,
63,">BNR/","אַבְנֵר ","Abner",,,,,,,,,,,,,,,,
2,">BS[","אבס ",,,,,,,,,,,,,,,,,
2,">B<B<T/","אֲבַעְבֻּעֹת ",,,,,,,,,,,,,,,,,
1,">BY/","אָבֶץ ",,,,,,,,,,,,,,,,,
2,">BYN/","אִבְצָן ",,,,,,,,,,,,,,,,,
6,">BQ/","אָבָק ",,,,,,,,,,,,,,,,,
2,">BQ[","אבק ",,,,,,,,,,,,,,,,,
1,">BQH/","אֲבָקָה ",,,,,,,,,,,,,,,,,
3,">BR/","אֵבֶר ","vinge",,,,,,,,,,,,,,,,
1,">BR[","אבר ",,,,,,,,,,,,,,,,,
4,">BRH/","אֶבְרָה ","",,,,,,,,,,,,,,,,
175,">BRHM/","אַבְרָהָם ","Abraham",,,,,,,,,,,,,,,,
1,">BRK","אַבְרֵךְ ","Hil dig? (uvist)",,,,,,,,,,,,,,,,
61,">BRM/","אַבְרָם ","Abram",,,,,,,,,,,,,,,,
25,">BCJ/","אַבְשַׁי ",,,,,,,,,,,,,,,,,
109,">BCLWM/","אַבְשָׁלֹום ","Absalom",,,,,,,,,,,,,,,,
4,">BT/","אֹבֹת ",,,,,,,,,,,,,,,,,
1,">G>/","אָגֵא ",,,,,,,,,,,,,,,,,
8,">GG/","אֲגַג ",,,,,,,,,,,,,,,,,
5,">GGJ/","אֲגָגִי ",,,,,,,,,,,,,,,,,
4,">GDH/","אֲגֻדָּה ",,,,,,,,,,,,,,,,,
1,">GWZ/","אֱגֹוז ",,,,,,,,,,,,,,,,,
1,">GWR/","אָגוּר ",,,,,,,,,,,,,,,,,
1,">GWRH/","אֲגֹורָה ",,,,,,,,,,,,,,,,,
1,">GL/","אֵגֶל ",,,,,,,,,,,,,,,,,
1,">GLJM/","אֶגְלַיִם ",,,,,,,,,,,,,,,,,
9,">GM/","אֲגַם I",,,,,,,,,,,,,,,,,
1,">GM=/","אָגֵם II",,,,,,,,,,,,,,,,,
5,">GMWN/","אַגְמֹון ",,,,,,,,,,,,,,,,,
3,">GN/","אַגָּן ","skål",,,,,,,,,,,,,,,,
7,">GP/","אֲגַף ",,,,,,,,,,,,,,,,,
3,">GR[","אגר ",,,,,,,,,,,,,,,,,
2,">GRVL/","אֲגַרְטָל ",,,,,,,,,,,,,,,,,
2,">GRP/","אֶגְרֹף ","næve",,,,,,,,,,,,,,,,
