"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","ʔāv","Vater",,,,,,,,,,,,,,,,
2,">B=/","אֵב II","ʔēv","Knospe, Trieb",,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ","Abagta",,,,,,,,,,,,,,,,
186,">BD[","אבד ","ʔVD",,"verloren gehen, umkommen",,"vernichten",,,"vernichten, ausrotten",,,,,,,,,,
4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ","etwas Verlorenes",,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ","(Ort des) Untergang(s)",,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn","(Ort des) Untergang(s)",,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I","ʔavdān","Vernichtung",,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II","ʔāvdān","Vernichtung",,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ","ʔēveʰ","Schilf",,,,,,,,,,,,,,,,
54,">BH[","אבה ","ʔVH",,"wollen",,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ","ʔᵃvôy","Unbehagen",,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ","ʔēvûs","Krippe",,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ","ʔivḥāʰ","Schlachtung?",,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ","Wassermelone",,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ","ʔᵃvî","Abi",,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn","Abialbon",,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl","Abiël",,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf","Abiasaf",,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ","ʔāvîv","Ähren; Abib <Monat>",,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil","Abigajil",,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ","ʔᵃvîdān","Abidan",,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ","Abida",,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ","ʔᵃviyyāʰ","Abija",,,,,,,,,,,,,,,,
2,">BJHW/","אֲבִיָּהוּ ","ʔᵃviyyāhû","Abija",,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ","ʔᵃvîhûˀ","Abihu",,,,,,,,,,,,,,,,
1,">BJHWD/","אֲבִיהוּד ","ʔᵃvîhûd","Abihud",,,,,,,,,,,,,,,,
2,">BJHJL/","אֲבִיהַיִל ","ʔᵃvîhayil","Abihajil",,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","ʔevyôn","bedürftig",,,,,,,,,,,,,,,,
1,">BJWNH/","אֲבִיֹּונָה ","ʔᵃviyyônāʰ","Kapernfrucht",,,,,,,,,,,,,,,,
4,">BJXJL/","אֲבִיחַיִל ","ʔᵃvîḥayil","Abihajil",,,,,,,,,,,,,,,,
1,">BJVWB/","אֲבִיטוּב ","ʔᵃvîṭûv","Abitub",,,,,,,,,,,,,,,,
2,">BJVL/","אֲבִיטָל ","ʔᵃvîṭāl","Abital",,,,,,,,,,,,,,,,
5,">BJM/","אֲבִיָּם ","ʔᵃviyyām","Abija",,,,,,,,,,,,,,,,
2,">BJM>L/","אֲבִימָאֵל ","ʔᵃvîmāʔēl","Abimaël",,,,,,,,,,,,,,,,
67,">BJMLK/","אֲבִימֶלֶךְ ","ʔᵃvîmelex","Abimelech",,,,,,,,,,,,,,,,
13,">BJNDB/","אֲבִינָדָב ","ʔᵃvînādāv","Abinadab",,,,,,,,,,,,,,,,
4,">BJN<M/","אֲבִינֹעַם ","ʔᵃvînōʕam","Abinoam",,,,,,,,,,,,,,,,
3,">BJSP/","אֶבְיָסָף ","ʔevyāsāf","Abiasaf",,,,,,,,,,,,,,,,
7,">BJ<ZR/","אֲבִיעֶזֶר ","ʔᵃvîʕezer","Abiëser",,,,,,,,,,,,,,,,
16,">BJR/","אַבִּיר I","ʔabbîr","stark",,,,,,,,,,,,,,,,
6,">BJR=/","אָבִיר II","ʔāvîr","stark",,,,,,,,,,,,,,,,
11,">BJRM/","אֲבִירָם ","ʔᵃvîrām","Abiram",,,,,,,,,,,,,,,,
5,">BJCG/","אֲבִישַׁג ","ʔᵃvîšag","Abischag",,,,,,,,,,,,,,,,
5,">BJCW</","אֲבִישׁוּעַ ","ʔᵃvîšûₐʕ","Abischua",,,,,,,,,,,,,,,,
2,">BJCWR/","אֲבִישׁוּר ","ʔᵃvîšûr","Abischur",,,,,,,,,,,,,,,,
19,">BJCJ/","אֲבִישַׁי ","ʔᵃvîšay","Abischai",,,,,,,,,,,,,,,,
2,">BJCLWM/","אֲבִישָׁלֹום ","ʔᵃvîšālôm","Abschalom",,,,,,,,,,,,,,,,
30,">BJTR/","אֶבְיָתָר ","ʔevyātār","Abjatar",,,,,,,,,,,,,,,,
1,">BK[","אבך ","ʔVX",,,,,,"emporwirbeln",,,,,,,,,,,
11,">BL","אֲבָל ","ʔᵃvāl","fürwahr; jedoch; leider",,,,,,,,,,,,,,,,
3,">BL/","אָבֵל I","ʔāvēl","Abel",,,,,,,,,,,,,,,,
1,">BL=/","אָבֵל II","ʔāvēl","Wasserlauf, Wiese",,,,,,,,,,,,,,,,
24,">BL==/","אֵבֶל III","ʔēvel","rituelle Trauer",,,,,,,,,,,,,,,,
8,">BL===/","אָבֵל IV","ʔāvēl","trauernd",,,,,,,,,,,,,,,,
3,">BL====/","אֻבָל V","ʔuvāl","Fluss, Kanal",,,,,,,,,,,,,,,,
3,">BL=[","אבל II","ʔVL",,"vertrocknen",,,,,,,,,,,,,,,
36,">BL[","אבל I","ʔVL",,"trauern",,,,"trauern","zum Trauern veranlassen",,,,,,,,,,
2,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ","ʔāvēl bêt maʕᵃxāʰ","Abel-Bet-Maacha",,,,,,,,,,,,,,,,
1,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ","ʔāvēl haššiṭṭîm","Abel-Schittim",,,,,,,,,,,,,,,,
1,">BL_KRMJM/","אָבֵל כְּרָמִים ","ʔāvēl kᵊrāmîm","Abel-Keramim",,,,,,,,,,,,,,,,
3,">BL_MXWLH/","אָבֵל מְחֹולָה ","ʔāvēl mᵊḥôlāʰ","Abel-Mehola",,,,,,,,,,,,,,,,
1,">BL_MJM/","אָבֵל מָיִם ","ʔāvēl māyim","Abel-Majim",,,,,,,,,,,,,,,,
1,">BL_MYRJM/","אָבֵל מִצְרַיִם ","ʔāvēl miṣrayim","Abel-Mizrajim",,,,,,,,,,,,,,,,
273,">BN/","אֶבֶן I","ʔeven","Stein",,,,,,,,,,,,,,,,
2,">BN=/","אֹבֶן II","ʔōven","Töpferscheibe; Gebärstein?",,,,,,,,,,,,,,,,
3,">BN_H<ZR/","אֶבֶן הָעֵזֶר ","ʔeven hāʕēzer","Eben-Eser",,,,,,,,,,,,,,,,
9,">BNV/","אַבְנֵט ","ʔavnēṭ","Gürtel",,,,,,,,,,,,,,,,
63,">BNR/","אַבְנֵר ","ʔavnēr","Abner",,,,,,,,,,,,,,,,
2,">BS[","אבס ","ʔVS",,"mästen",,,,,,,,,,,,,,,
2,">B<B<T/","אֲבַעְבֻּעֹת ","ʔᵃvaʕbuʕōt","Blasen, Geschwüre",,,,,,,,,,,,,,,,
1,">BY/","אָבֶץ ","ʔāveṣ","Ebez",,,,,,,,,,,,,,,,
2,">BYN/","אִבְצָן ","ʔivṣān","Ibzan",,,,,,,,,,,,,,,,
6,">BQ/","אָבָק ","ʔāvāq","Staub",,,,,,,,,,,,,,,,
2,">BQ[","אבק ","ʔVQ",,,"ringen",,,,,,,,,,,,,,
1,">BQH/","אֲבָקָה ","ʔᵃvāqāʰ","Gewürzpulver",,,,,,,,,,,,,,,,
3,">BR/","אֵבֶר ","ʔēver","Flügel",,,,,,,,,,,,,,,,
1,">BR[","אבר ","ʔVR",,,,,,,"fliegen, sich aufschwingen",,,,,,,,,,
4,">BRH/","אֶבְרָה ","ʔevrāʰ","Flügel",,,,,,,,,,,,,,,,
175,">BRHM/","אַבְרָהָם ","ʔavrāhām","Abraham",,,,,,,,,,,,,,,,
1,">BRK","אַבְרֵךְ ","ʔavrēx","<unklar>",,,,,,,,,,,,,,,,
61,">BRM/","אַבְרָם ","ʔavrām","Abram",,,,,,,,,,,,,,,,
25,">BCJ/","אַבְשַׁי ","ʔavšay","Abischai",,,,,,,,,,,,,,,,
109,">BCLWM/","אַבְשָׁלֹום ","ʔavšālôm","Abschalom",,,,,,,,,,,,,,,,
4,">BT/","אֹבֹת ","ʔōvōt","Obot",,,,,,,,,,,,,,,,
1,">G>/","אָגֵא ","ʔāgēˀ","Age",,,,,,,,,,,,,,,,
8,">GG/","אֲגַג ","ʔᵃgag","Agag",,,,,,,,,,,,,,,,
5,">GGJ/","אֲגָגִי ","ʔᵃgāgî","Agagiter",,,,,,,,,,,,,,,,
4,">GDH/","אֲגֻדָּה ","ʔᵃguddāʰ","Band, Haufe; Gewölbe?",,,,,,,,,,,,,,,,
1,">GWZ/","אֱגֹוז ","ʔᵉgôz","Nuss",,,,,,,,,,,,,,,,
1,">GWR/","אָגוּר ","ʔāgûr","Agur",,,,,,,,,,,,,,,,
1,">GWRH/","אֲגֹורָה ","ʔᵃgôrāʰ","Bezahlung",,,,,,,,,,,,,,,,
1,">GL/","אֵגֶל ","ʔēgel","Tropfen",,,,,,,,,,,,,,,,
1,">GLJM/","אֶגְלַיִם ","ʔeglayim","Eglajim",,,,,,,,,,,,,,,,
9,">GM/","אֲגַם I","ʔᵃgam","Schilftümpel",,,,,,,,,,,,,,,,
1,">GM=/","אָגֵם II","ʔāgēm","betrübt",,,,,,,,,,,,,,,,
5,">GMWN/","אַגְמֹון ","ʔagmôn","Schilfhalm",,,,,,,,,,,,,,,,
3,">GN/","אַגָּן ","ʔaggān","Schale",,,,,,,,,,,,,,,,
7,">GP/","אֲגַף ","ʔᵃgaf","Schar",,,,,,,,,,,,,,,,
3,">GR[","אגר ","ʔGR",,"einbringen",,,,,,,,,,,,,,,
2,">GRVL/","אֲגַרְטָל ","ʔᵃgarṭāl","Korb",,,,,,,,,,,,,,,,
2,">GRP/","אֶגְרֹף ","ʔegrōf","Faust",,,,,,,,,,,,,,,,
10,">GRT/","אִגֶּרֶת ","ʔiggeret","Brief",,,,,,,,,,,,,,,,
2,">D/","אֵד ","ʔēd","Strom?; Nebel?",,,,,,,,,,,,,,,,
1,">DB[","אדב ","ʔDV",,,,,,,"krank machen",,,,,,,,,,
2,">DB>L/","אַדְבְּאֵל ","ʔadbᵊʔēl","Abdeël",,,,,,,,,,,,,,,,
1,">DD/","אֲדַד ","ʔᵃdad","Hadad",,,,,,,,,,,,,,,,
2,">DW/","אִדֹּו ","ʔiddô","Iddo",,,,,,,,,,,,,,,,
100,">DWM/","אֱדֹום ","ʔᵉdôm","Edom",,,,,,,,,,,,,,,,
335,">DWN/","אָדֹון I","ʔādôn","Herr",,,,,,,,,,,,,,,,
1,">DWN=/","אַדֹּון II","ʔaddôn","Addon",,,,,,,,,,,,,,,,
1,">DWRJM/","אֲדֹורַיִם ","ʔᵃdôrayim","Adorajim",,,,,,,,,,,,,,,,
27,">DJR/","אַדִּיר ","ʔaddîr","mächtig, prächtig",,,,,,,,,,,,,,,,
1,">DLJ>/","אֲדַלְיָא ","ʔᵃdalyāˀ","Adalja",,,,,,,,,,,,,,,,
553,">DM/","אָדָם I","ʔādām","Mensch, Menschheit",,,,,,,,,,,,,,,,
9,">DM=/","אָדֹם II","ʔādōm","rot, braun",,,,,,,,,,,,,,,,
3,">DM==/","אֹדֶם III","ʔōdem","<roter Edelstein>, Rubin?",,,,,,,,,,,,,,,,
8,">DM===/","אָדָם IV","ʔādām","Adam",,,,,,,,,,,,,,,,
1,">DM====/","אָדָם V","ʔādām","Adam",,,,,,,,,,,,,,,,
10,">DM[","אדם ","ʔDM",,"rot sein",,,"rot gemacht werden","rötlich aussehen","rot sein",,,,,,,,,,
6,">DMDM/","אֲדַמְדָּם ","ʔᵃdamdām","rötlich",,,,,,,,,,,,,,,,
223,">DMH/","אֲדָמָה I","ʔᵃdāmāʰ","Erdboden; Grundbesitz; Welt",,,,,,,,,,,,,,,,
5,">DMH=/","אַדְמָה II","ʔadmāʰ","Adma",,,,,,,,,,,,,,,,
3,">DMH==/","אֲדָמָה III","ʔᵃdāmāʰ","Adama",,,,,,,,,,,,,,,,
