"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","ʔāv","father",,,,,,,,,,,,,,,,
2,">B=/","אֵב II","ʔēv","bud, shoot",,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ","Abagtha",,,,,,,,,,,,,,,,
186,">BD[","אבד ","ʔVD",,"perish",,"destroy",,,"exterminate",,,,,,,,,,
4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ","a lost thing",,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ","(place of) destruction",,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn","(place of) destruction",,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I","ʔavdān","destruction",,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II","ʔāvdān","destruction",,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ","ʔēveʰ","reed",,,,,,,,,,,,,,,,
54,">BH[","אבה ","ʔVH",,"accede, accept",,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ","ʔᵃvôy","uneasiness",,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ","ʔēvûs","manger",,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ","ʔivḥāʰ","slaughter?",,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ","water-melon",,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ","ʔᵃvî","Abijah",,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn","Abi-Albon",,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl","Abiel",,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf","Abiasaph",,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ","ʔāvîv","ears of barley; Abib (month)",,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil","Abigail",,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ","ʔᵃvîdān","Abidan",,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ","Abida",,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ","ʔᵃviyyāʰ","Abijah",,,,,,,,,,,,,,,,
2,">BJHW/","אֲבִיָּהוּ ","ʔᵃviyyāhû","Abijah",,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ","ʔᵃvîhûˀ","Abihu",,,,,,,,,,,,,,,,
1,">BJHWD/","אֲבִיהוּד ","ʔᵃvîhûd","Abihud",,,,,,,,,,,,,,,,
2,">BJHJL/","אֲבִיהַיִל ","ʔᵃvîhayil","Abihail",,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","ʔevyôn","poor, oppressed",,,,,,,,,,,,,,,,
1,">BJWNH/","אֲבִיֹּונָה ","ʔᵃviyyônāʰ","caper-fruit",,,,,,,,,,,,,,,,
4,">BJXJL/","אֲבִיחַיִל ","ʔᵃvîḥayil","Abihail",,,,,,,,,,,,,,,,
1,">BJVWB/","אֲבִיטוּב ","ʔᵃvîṭûv","Abitub",,,,,,,,,,,,,,,,
2,">BJVL/","אֲבִיטָל ","ʔᵃvîṭāl","Abital",,,,,,,,,,,,,,,,
5,">BJM/","אֲבִיָּם ","ʔᵃviyyām","Abijah",,,,,,,,,,,,,,,,
2,">BJM>L/","אֲבִימָאֵל ","ʔᵃvîmāʔēl","Abimael",,,,,,,,,,,,,,,,
67,">BJMLK/","אֲבִימֶלֶךְ ","ʔᵃvîmelex","Abimelech",,,,,,,,,,,,,,,,
13,">BJNDB/","אֲבִינָדָב ","ʔᵃvînādāv","Abinadab",,,,,,,,,,,,,,,,
4,">BJN<M/","אֲבִינֹעַם ","ʔᵃvînōʕam","Abinoam",,,,,,,,,,,,,,,,
3,">BJSP/","אֶבְיָסָף ","ʔevyāsāf","Ebiasaph",,,,,,,,,,,,,,,,
7,">BJ<ZR/","אֲבִיעֶזֶר ","ʔᵃvîʕezer","Abiezer",,,,,,,,,,,,,,,,
16,">BJR/","אַבִּיר I","ʔabbîr","strong, powerful",,,,,,,,,,,,,,,,
6,">BJR=/","אָבִיר II","ʔāvîr","strong",,,,,,,,,,,,,,,,
