"Occurrences","lex","Lexeme","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","padre",,,,,,,,,,,,,,,,
186,">BD[","אבד ",,"perecer",,"destruir",,,"exterminar",,,,,,,,,,
54,">BH[","אבה ",,"estar dispuesto, consentir",,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","Abigail",,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ","Abias, Abías",,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ","Abiu, Abiú",,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","pobre, oprimido",,,,,,,,,,,,,,,,
67,">BJMLK/","אֲבִימֶלֶךְ ","Abimelec",,,,,,,,,,,,,,,,
13,">BJNDB/","אֲבִינָדָב ","Abinadab",,,,,,,,,,,,,,,,
16,">BJR/","אַבִּיר I","fuerte , poderoso",,,,,,,,,,,,,,,,
11,">BJRM/","אֲבִירָם ","Abiram , Abiran, Abiram , Abirán",,,,,,,,,,,,,,,,
19,">BJCJ/","אֲבִישַׁי ","Abisai , Abisay",,,,,,,,,,,,,,,,
30,">BJTR/","אֶבְיָתָר ","Abiatar",,,,,,,,,,,,,,,,
11,">BL","אֲבָל ","ciertamente ; pero , sin embargo",,,,,,,,,,,,,,,,
24,">BL==/","אֵבֶל III","duelo , luto",,,,,,,,,,,,,,,,
36,">BL[","אבל I",,"estar de luto",,,,"hacer duelo","causar estar de luto ",,,,,,,,,,
273,">BN/","אֶבֶן I","piedra",,,,,,,,,,,,,,,,
63,">BNR/","אַבְנֵר ","Abner",,,,,,,,,,,,,,,,
175,">BRHM/","אַבְרָהָם ","Abraham, Abrahán, Abrahan",,,,,,,,,,,,,,,,
61,">BRM/","אַבְרָם ","Abram",,,,,,,,,,,,,,,,
25,">BCJ/","אַבְשַׁי ","Abisaí, Abisay, Abisai, Abisay",,,,,,,,,,,,,,,,
109,">BCLWM/","אַבְשָׁלֹום ","Absalom, Absalón, Absalon",,,,,,,,,,,,,,,,
10,">GRT/","אִגֶּרֶת ","carta oficial , la carta oficial",,,,,,,,,,,,,,,,
100,">DWM/","אֱדֹום ","Edom",,,,,,,,,,,,,,,,
335,">DWN/","אָדֹון I","señor, amo, senor, amo",,,,,,,,,,,,,,,,
27,">DJR/","אַדִּיר ","soberano; nobles",,,,,,,,,,,,,,,,
553,">DM/","אָדָם I","hombre, raza humana",,,,,,,,,,,,,,,,
