"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","ʔāv","vader",,,,,,,,,,,,,,,,
2,">B=/","אֵב II","ʔēv","[*], loot, scheut",,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ","Abagta",,,,,,,,,,,,,,,,
186,">BD[","אבד ","ʔVD",,"verloren gaan, ten onder gaan, vernietigd worden",,"vernietigen",,,"uitroeien",,,,,,,,,,
4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ","verloren voorwerpen",,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ","?, onderwereld",,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn","?, onderwereld",,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I","ʔavdān","verwoesting",,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II","ʔāvdān","[*], verwoesting",,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ","ʔēveʰ","rietstengel, papyrus",,,,,,,,,,,,,,,,
54,">BH[","אבה ","ʔVH",,"(+ inf, + prep ל) bereid zijn om",,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ","ʔᵃvôy","rampspoed",,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ","ʔēvûs","kribbe, voederbak",,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ","ʔivḥāʰ","?,slacht",,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ","watermeloen",,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ","ʔᵃvî","Abi",,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn","Abialbon",,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl","Abiël",,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf","Abiasaf",,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ","ʔāvîv","(koren)aar",,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil","Abigaïl",,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ","ʔᵃvîdān","Abidan",,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ","Abida",,,,,,,,,,,,,,,,
