"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","ʔāv","pai",,,,,,,,,,,,,,,,
2,">B=/","אֵב II","ʔēv","broto, atirar",,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ","Abagtha",,,,,,,,,,,,,,,,
186,">BD[","אבד ","ʔVD",,"perecer",,"destruir",,,"exterminar",,,,,,,,,,
4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ","uma coisa perdida",,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ","(local de) destruição",,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn","(local de) destruição",,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I","ʔavdān","destruição",,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II","ʔāvdān","destruição",,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ","ʔēveʰ","palheta",,,,,,,,,,,,,,,,
54,">BH[","אבה ","ʔVH",,"concordar, aceitar",,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ","ʔᵃvôy","inquietação",,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ","ʔēvûs","manjedoura",,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ","ʔivḥāʰ","abate?",,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ","melancia",,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ","ʔᵃvî","Abijah",,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn","Abi-Albon",,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl","Abiel",,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf","Abiasaph",,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ","ʔāvîv","Orelha de cevada; Abib (mês)",,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil","Abigail",,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ","ʔᵃvîdān","Abidan",,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ","Abida",,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ","ʔᵃviyyāʰ","Abijah",,,,,,,,,,,,,,,,
2,">BJHW/","אֲבִיָּהוּ ","ʔᵃviyyāhû","Abijah",,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ","ʔᵃvîhûˀ","Abihu",,,,,,,,,,,,,,,,
1,">BJHWD/","אֲבִיהוּד ","ʔᵃvîhûd","Abihud",,,,,,,,,,,,,,,,
2,">BJHJL/","אֲבִיהַיִל ","ʔᵃvîhayil","Abihail",,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","ʔevyôn","pobre, oprimido",,,,,,,,,,,,,,,,
1,">BJWNH/","אֲבִיֹּונָה ","ʔᵃviyyônāʰ","caper-fruit",,,,,,,,,,,,,,,,
4,">BJXJL/","אֲבִיחַיִל ","ʔᵃvîḥayil","Abihail",,,,,,,,,,,,,,,,
1,">BJVWB/","אֲבִיטוּב ","ʔᵃvîṭûv","Abitub",,,,,,,,,,,,,,,,
2,">BJVL/","אֲבִיטָל ","ʔᵃvîṭāl","Abital",,,,,,,,,,,,,,,,
5,">BJM/","אֲבִיָּם ","ʔᵃviyyām","Abijah",,,,,,,,,,,,,,,,
2,">BJM>L/","אֲבִימָאֵל ","ʔᵃvîmāʔēl","Abimael",,,,,,,,,,,,,,,,
67,">BJMLK/","אֲבִימֶלֶךְ ","ʔᵃvîmelex","Abimeleque",,,,,,,,,,,,,,,,
13,">BJNDB/","אֲבִינָדָב ","ʔᵃvînādāv","Abinadab",,,,,,,,,,,,,,,,
4,">BJN<M/","אֲבִינֹעַם ","ʔᵃvînōʕam","Abinoam",,,,,,,,,,,,,,,,
3,">BJSP/","אֶבְיָסָף ","ʔevyāsāf","Ebiasaph",,,,,,,,,,,,,,,,
7,">BJ<ZR/","אֲבִיעֶזֶר ","ʔᵃvîʕezer","Abiezer",,,,,,,,,,,,,,,,
16,">BJR/","אַבִּיר I","ʔabbîr","forte, poderoso",,,,,,,,,,,,,,,,
6,">BJR=/","אָבִיר II","ʔāvîr","forte",,,,,,,,,,,,,,,,
11,">BJRM/","אֲבִירָם ","ʔᵃvîrām","Abiram",,,,,,,,,,,,,,,,
5,">BJCG/","אֲבִישַׁג ","ʔᵃvîšag","Abishag",,,,,,,,,,,,,,,,
5,">BJCW</","אֲבִישׁוּעַ ","ʔᵃvîšûₐʕ","Abishua",,,,,,,,,,,,,,,,
2,">BJCWR/","אֲבִישׁוּר ","ʔᵃvîšûr","Abishur",,,,,,,,,,,,,,,,
19,">BJCJ/","אֲבִישַׁי ","ʔᵃvîšay","Abishai",,,,,,,,,,,,,,,,
2,">BJCLWM/","אֲבִישָׁלֹום ","ʔᵃvîšālôm","Abishalom",,,,,,,,,,,,,,,,
30,">BJTR/","אֶבְיָתָר ","ʔevyātār","Abiathar",,,,,,,,,,,,,,,,
1,">BK[","אבך ","ʔVX",,,,,,"rodopiar, ondular",,,,,,,,,,,
11,">BL","אֲבָל ","ʔᵃvāl","verdadeiramente; mas, no entanto",,,,,,,,,,,,,,,,
3,">BL/","אָבֵל I","ʔāvēl","Abel",,,,,,,,,,,,,,,,
1,">BL=/","אָבֵל II","ʔāvēl","curso de água, prado",,,,,,,,,,,,,,,,
24,">BL==/","אֵבֶל III","ʔēvel","(ritos de) luto",,,,,,,,,,,,,,,,
8,">BL===/","אָבֵל IV","ʔāvēl","em luto",,,,,,,,,,,,,,,,
3,">BL====/","אֻבָל V","ʔuvāl","riacho, canal",,,,,,,,,,,,,,,,
3,">BL=[","אבל II","ʔVL",,"secar",,,,,,,,,,,,,,,
36,">BL[","אבל I","ʔVL",,"Lamentar",,,,"lamentar","fazer chorar",,,,,,,,,,
2,">BL_BJT_M<KH/","אָבֵל בֵּית מַעֲכָה ","ʔāvēl bêt maʕᵃxāʰ","Abel Beth Maacah",,,,,,,,,,,,,,,,
1,">BL_HCVJM/","אָבֵל הַשִּׁטִּים ","ʔāvēl haššiṭṭîm","Abel Shittim",,,,,,,,,,,,,,,,
1,">BL_KRMJM/","אָבֵל כְּרָמִים ","ʔāvēl kᵊrāmîm","Abel Keramim",,,,,,,,,,,,,,,,
3,">BL_MXWLH/","אָבֵל מְחֹולָה ","ʔāvēl mᵊḥôlāʰ","Abel Meholah",,,,,,,,,,,,,,,,
1,">BL_MJM/","אָבֵל מָיִם ","ʔāvēl māyim","Abel Maim",,,,,,,,,,,,,,,,
1,">BL_MYRJM/","אָבֵל מִצְרַיִם ","ʔāvēl miṣrayim","Abel Mizraim",,,,,,,,,,,,,,,,
273,">BN/","אֶבֶן I","ʔeven","pedra",,,,,,,,,,,,,,,,
2,">BN=/","אֹבֶן II","ʔōven","roda de oleiro; banco da parteira?",,,,,,,,,,,,,,,,
3,">BN_H<ZR/","אֶבֶן הָעֵזֶר ","ʔeven hāʕēzer","Ebenezer",,,,,,,,,,,,,,,,
9,">BNV/","אַבְנֵט ","ʔavnēṭ","girdle",,,,,,,,,,,,,,,,
63,">BNR/","אַבְנֵר ","ʔavnēr","Abner",,,,,,,,,,,,,,,,
2,">BS[","אבס ","ʔVS",,"engordar",,,,,,,,,,,,,,,
2,">B<B<T/","אֲבַעְבֻּעֹת ","ʔᵃvaʕbuʕōt","bolhas, furúnculos",,,,,,,,,,,,,,,,
1,">BY/","אָבֶץ ","ʔāveṣ","Ebez",,,,,,,,,,,,,,,,
2,">BYN/","אִבְצָן ","ʔivṣān","Ibzan",,,,,,,,,,,,,,,,
6,">BQ/","אָבָק ","ʔāvāq","poeira",,,,,,,,,,,,,,,,
2,">BQ[","אבק ","ʔVQ",,,"lutar",,,,,,,,,,,,,,
1,">BQH/","אֲבָקָה ","ʔᵃvāqāʰ","perfume-pó de cheiro",,,,,,,,,,,,,,,,
3,">BR/","אֵבֶר ","ʔēver","ala",,,,,,,,,,,,,,,,
1,">BR[","אבר ","ʔVR",,,,,,,"voar, subir",,,,,,,,,,
4,">BRH/","אֶבְרָה ","ʔevrāʰ","ala",,,,,,,,,,,,,,,,
175,">BRHM/","אַבְרָהָם ","ʔavrāhām","Abraão",,,,,,,,,,,,,,,,
1,">BRK","אַבְרֵךְ ","ʔavrēx","(incerto)",,,,,,,,,,,,,,,,
61,">BRM/","אַבְרָם ","ʔavrām","Abrão",,,,,,,,,,,,,,,,
25,">BCJ/","אַבְשַׁי ","ʔavšay","Abishai",,,,,,,,,,,,,,,,
109,">BCLWM/","אַבְשָׁלֹום ","ʔavšālôm","Absalão",,,,,,,,,,,,,,,,
4,">BT/","אֹבֹת ","ʔōvōt","Oboth",,,,,,,,,,,,,,,,
1,">G>/","אָגֵא ","ʔāgēˀ","Agee",,,,,,,,,,,,,,,,
8,">GG/","אֲגַג ","ʔᵃgag","Agag",,,,,,,,,,,,,,,,
5,">GGJ/","אֲגָגִי ","ʔᵃgāgî","Agagite",,,,,,,,,,,,,,,,
4,">GDH/","אֲגֻדָּה ","ʔᵃguddāʰ","banda, bando; cofre?",,,,,,,,,,,,,,,,
1,">GWZ/","אֱגֹוז ","ʔᵉgôz","porca",,,,,,,,,,,,,,,,
1,">GWR/","אָגוּר ","ʔāgûr","Agur",,,,,,,,,,,,,,,,
1,">GWRH/","אֲגֹורָה ","ʔᵃgôrāʰ","pagamento",,,,,,,,,,,,,,,,
1,">GL/","אֵגֶל ","ʔēgel","drop",,,,,,,,,,,,,,,,
1,">GLJM/","אֶגְלַיִם ","ʔeglayim","Eglaim",,,,,,,,,,,,,,,,
9,">GM/","אֲגַם I","ʔᵃgam","piscina de juncos",,,,,,,,,,,,,,,,
1,">GM=/","אָגֵם II","ʔāgēm","triste",,,,,,,,,,,,,,,,
5,">GMWN/","אַגְמֹון ","ʔagmôn","pressa",,,,,,,,,,,,,,,,
3,">GN/","אַגָּן ","ʔaggān","tigela",,,,,,,,,,,,,,,,
7,">GP/","אֲגַף ","ʔᵃgaf","tropa",,,,,,,,,,,,,,,,
3,">GR[","אגר ","ʔGR",,"reunir",,,,,,,,,,,,,,,
2,">GRVL/","אֲגַרְטָל ","ʔᵃgarṭāl","cesta",,,,,,,,,,,,,,,,
2,">GRP/","אֶגְרֹף ","ʔegrōf","punho",,,,,,,,,,,,,,,,
10,">GRT/","אִגֶּרֶת ","ʔiggeret","(oficial, comercial) carta",,,,,,,,,,,,,,,,
2,">D/","אֵד ","ʔēd","fluxo?; névoa?",,,,,,,,,,,,,,,,
1,">DB[","אדב ","ʔDV",,,,,,,"adoecer",,,,,,,,,,
2,">DB>L/","אַדְבְּאֵל ","ʔadbᵊʔēl","Abdeel",,,,,,,,,,,,,,,,
1,">DD/","אֲדַד ","ʔᵃdad","Hadad",,,,,,,,,,,,,,,,
2,">DW/","אִדֹּו ","ʔiddô","Iddo",,,,,,,,,,,,,,,,
100,">DWM/","אֱדֹום ","ʔᵉdôm","Edom",,,,,,,,,,,,,,,,
335,">DWN/","אָדֹון I","ʔādôn","senhor, mestre",,,,,,,,,,,,,,,,
1,">DWN=/","אַדֹּון II","ʔaddôn","Addon",,,,,,,,,,,,,,,,
1,">DWRJM/","אֲדֹורַיִם ","ʔᵃdôrayim","Adoraim",,,,,,,,,,,,,,,,
27,">DJR/","אַדִּיר ","ʔaddîr","poderosos; nobres (n, pl)",,,,,,,,,,,,,,,,
1,">DLJ>/","אֲדַלְיָא ","ʔᵃdalyāˀ","Adalia",,,,,,,,,,,,,,,,
553,">DM/","אָדָם I","ʔādām","homem",,,,,,,,,,,,,,,,
9,">DM=/","אָדֹם II","ʔādōm","vermelho, marrom",,,,,,,,,,,,,,,,
