"Occurrences","lex","Lexeme","Transliterated","None","Qal","Nifal","Piel","Pual","Hitpael","Hifil","Hofal","Hishtafal","Passive Qal","Etpaal","Nitpael","Hotpaal","Tifal","Hitpoal","Poal","Poel"
1217,">B/","אָב I","ʔāv",,,,,,,,,,,,,,,,,
2,">B=/","אֵב II","ʔēv","bich, jan, mich, kijani, vyowap",,,,,,,,,,,,,,,,
1,">BGT>/","אֲבַגְתָא ","ʔᵃvagtāˀ","abagtha",,,,,,,,,,,,,,,,
186,">BD[","אבד ","ʔVD",,,,,,,,,,,,,,,,,
4,">BDH/","אֲבֵדָה I","ʔᵃvēdāʰ","potez, hasara, pungu, kosan, kion",,,,,,,,,,,,,,,,
1,">BDH=/","אֲבַדֹּה II","ʔᵃvaddōʰ","ukiwa, uharibifu, anga, chukiz, ajab",,,,,,,,,,,,,,,,
5,">BDWN/","אֲבַדֹּון ","ʔᵃvaddôn","uharibifu, haun, viko",,,,,,,,,,,,,,,,
1,">BDN/","אַבְדָן I","ʔavdān","ukiwa, uharibifu, anga, chukiz, ajab",,,,,,,,,,,,,,,,
1,">BDN=/","אָבְדָן II","ʔāvdān","ukiwa, uharibifu, anga, chukiz, ajab",,,,,,,,,,,,,,,,
1,">BH/","אֵבֶה ","ʔēveʰ","shamu, mwanzi, nyas, unyasi, kalamu",,,,,,,,,,,,,,,,
54,">BH[","אבה ","ʔVH",,"kubal, radh, hiar, tak, kata",,,,,,,,,,,,,,,
1,">BWJ/","אֲבֹוי ","ʔᵃvôy","ole, aa, pinga, ala",,,,,,,,,,,,,,,,
3,">BWS/","אֵבוּס ","ʔēvûs","zizi, amju, zaleta",,,,,,,,,,,,,,,,
1,">BXH/","אִבְחָה ","ʔivḥāʰ","chinj, chin, wau, chinji, chinja",,,,,,,,,,,,,,,,
1,">BVJX/","אֲבַטִּיחַ ","ʔᵃvaṭṭîₐḥ","matikiti",,,,,,,,,,,,,,,,
1,">BJ/","אֲבִי ","ʔᵃvî","abiya",,,,,,,,,,,,,,,,
1,">BJ_<LBWN/","אֲבִי עַלְבֹון ","ʔᵃvî ʕalvôn","mwarbathi",,,,,,,,,,,,,,,,
3,">BJ>L/","אֲבִיאֵל ","ʔᵃvîʔēl","abieli",,,,,,,,,,,,,,,,
1,">BJ>SP/","אֲבִיאָסָף ","ʔᵃvîʔāsāf","ebiasafu, abiasafu",,,,,,,,,,,,,,,,
8,">BJB/","אָבִיב ","ʔāvîv","abibu, suk",,,,,,,,,,,,,,,,
17,">BJGJL/","אֲבִיגַיִל ","ʔᵃvîgayil","abigaili, mwishmaeli",,,,,,,,,,,,,,,,
5,">BJDN/","אֲבִידָן ","ʔᵃvîdān","abidani",,,,,,,,,,,,,,,,
2,">BJD</","אֲבִידָע ","ʔᵃvîdāʕ","abida",,,,,,,,,,,,,,,,
23,">BJH/","אֲבִיָּה ","ʔᵃviyyāʰ","abiya, abia",,,,,,,,,,,,,,,,
2,">BJHW/","אֲבִיָּהוּ ","ʔᵃviyyāhû","abiya, abia",,,,,,,,,,,,,,,,
12,">BJHW>/","אֲבִיהוּא ","ʔᵃvîhûˀ","abihu, mfiki",,,,,,,,,,,,,,,,
1,">BJHWD/","אֲבִיהוּד ","ʔᵃvîhûd","abihudi",,,,,,,,,,,,,,,,
2,">BJHJL/","אֲבִיהַיִל ","ʔᵃvîhayil","abihaili",,,,,,,,,,,,,,,,
61,">BJWN/","אֶבְיֹון ","ʔevyôn","haja, mhitaji, wahitaji, hitaj, maskini",,,,,,,,,,,,,,,,
1,">BJWNH/","אֲבִיֹּונָה ","ʔᵃviyyônāʰ","tama, pendeza, pend, tamani, man",,,,,,,,,,,,,,,,
4,">BJXJL/","אֲבִיחַיִל ","ʔᵃvîḥayil","abihaili",,,,,,,,,,,,,,,,
1,">BJVWB/","אֲבִיטוּב ","ʔᵃvîṭûv","abitubu",,,,,,,,,,,,,,,,
2,">BJVL/","אֲבִיטָל ","ʔᵃvîṭāl","abitali",,,,,,,,,,,,,,,,
5,">BJM/","אֲבִיָּם ","ʔᵃviyyām","abiya",,,,,,,,,,,,,,,,
