"Occurrences","Lexeme","Part of speech","Gloss"
1,"ab","preposition","fra"
2,"ad","preposition","til"
1,"albus","adjective","hvid"
6,"ancilla","noun","slavinde"
1,"ante","preposition","foran"
1,"aqua","noun","vand"
1,"aut","conjunction","eller"
3,"bonus","adjective","god"
1,"calidus","adjective","varm"
7,"Campania","noun","Campanien"
1,"cena","noun","måltid"
1,"cirum","preposition","omkring"
8,"Claudia","noun","Claudia"
1,"corbula","noun","kurv"
1,"curiosus","adjective","omhyggelig"
1,"destino","verb","befæster"
2,"domina","noun","frue"
8,"et","conjunction","og"
1,"familia","noun","familie"
2,"fecundus","adjective","frugtbar"
3,"femina","noun","kvinde"
1,"frigidus","adjective","kold"
2,"Graecus","adjective","græsk"
3,"habeo","verb","har"
3,"Hilda","noun","Hilda"
5,"hora","noun","time"
2,"iaceo","verb","ligger"
6,"in","preposition","i"
1,"industria","noun","driftighed"
1,"insula","noun","ø"
2,"Italia","noun","Italia"
2,"lana","noun","uld"
1,"latus","adjective","bred"
1,"lingua","noun","sprog; tunge"
1,"longus","noun","lang"
4,"magnus","adjective","stor"
1,"marmoreus","adjective","marmor-; af marmor"
1,"mensa","noun","bord"
1,"meridianus","adjective","middags-"
1,"multus","adjective","meget"
1,"natus","adjective","født"
1,"neo","verb","spinder"
1,"novus","adjective","ny"
1,"Nuceria","noun","Nuceria"
1,"paeninsula","noun","halvø"
1,"parvus","adjective","lille"
1,"peregrinus","adjective","fremmed"
2,"piscina","noun","dam"
1,"post","preposition","efter"
1,"pretiosus","adjective","kostbar"
2,"prope","preposition","nær; tæt på"
1,"propter","preposition","på grund af"
1,"pulcher","adjective","smuk"
1,"Roma","noun","Rom"
1,"rusticus","adjective","landlig; bonde-"
1,"saepe","adverb","ofte"
2,"scientia","noun","viden"
1,"sedeo","verb","sidder"
2,"septimus","adjective","syvende; 7."
2,"sextus","adjective","sjette; 6."
2,"Sicilia","noun","Sicilien"
2,"situs","adjective","beliggende; liggende"
4,"Sophia","noun","Sophia"
17,"sum","verb","er"
1,"tela","noun","væv"
1,"terra","noun","jord"
1,"tertius","adjective","tredje; 3."
1,"Thyra","noun","Thy"
2,"tunica","noun","tunika"
1,"unio","verb","forener; forbinder"
1,"venio","verb","kommer"
2,"vestio","verb","klæder"
2,"via","noun","vej"
3,"video","verb","ser"
7,"villa","noun","hus"
1,"vinea","noun","vinstok"
