"Occurrences","Lexeme","Part of speech","Gloss"
1,"ab","preposition","from"
2,"ad","preposition",""
1,"albus","adjective",""
6,"ancilla","noun",""
1,"ante","preposition",""
1,"aqua","noun",""
1,"aut","conjunction",""
3,"bonus","adjective",""
1,"calidus","adjective",""
7,"Campania","noun",""
1,"cena","noun",""
1,"cirum","preposition",""
8,"Claudia","noun",""
1,"corbula","noun",""
1,"curiosus","adjective",""
1,"destino","verb",""
2,"domina","noun",""
8,"et","conjunction","and"
1,"familia","noun",""
2,"fecundus","adjective",""
3,"femina","noun",""
1,"frigidus","adjective",""
2,"Graecus","adjective",""
3,"habeo","verb",""
3,"Hilda","noun",""
5,"hora","noun",""
2,"iaceo","verb",""
6,"in","preposition","in, into"
1,"industria","noun",""
1,"insula","noun",""
2,"Italia","noun",""
2,"lana","noun",""
1,"latus","adjective",""
1,"lingua","noun",""
1,"longus","noun",""
4,"magnus","adjective",""
1,"marmoreus","adjective",""
1,"mensa","noun",""
1,"meridianus","adjective",""
1,"multus","adjective",""
1,"natus","adjective",""
1,"neo","verb",""
1,"novus","adjective",""
1,"Nuceria","noun",""
1,"paeninsula","noun",""
1,"parvus","adjective",""
1,"peregrinus","adjective",""
2,"piscina","noun",""
1,"post","preposition",""
1,"pretiosus","adjective",""
2,"prope","preposition",""
1,"propter","preposition",""
1,"pulcher","adjective",""
1,"Roma","noun",""
1,"rusticus","adjective",""
1,"saepe","adverb",""
2,"scientia","noun",""
1,"sedeo","verb",""
2,"septimus","adjective",""
2,"sextus","adjective",""
2,"Sicilia","noun",""
2,"situs","adjective",""
4,"Sophia","noun",""
17,"sum","verb","am"
1,"tela","noun",""
1,"terra","noun",""
1,"tertius","adjective",""
1,"Thyra","noun",""
2,"tunica","noun",""
1,"unio","verb",""
1,"venio","verb",""
2,"vestio","verb",""
2,"via","noun",""
3,"video","verb",""
7,"villa","noun",""
1,"vinea","noun",""
