"Occurrences","Lexeme","Part of speech","Gloss"
2,"Aaron","proper_noun","Aron"
776,"ab","preposition","fra"
1,"Abaddon","proper_noun","Abaddon"
3,"Abba","proper_noun","Abba"
1,"abdico","verb","frasiger"
2,"abduco","verb","fører væk"
2,"Abel","proper_noun","Abel"
105,"abeo","verb","går væk"
3,"Abia","proper_noun","Abija"
1,"Abiathar","proper_noun","Ebjatar"
2,"abicio","verb","bortkaster"
1,"Abilina","proper_noun","Abilene"
2,"Abiud","proper_noun","Abiud"
3,"abluo","verb","vakser"
3,"abnego","verb","afslår"
1,"aboleo","verb","ødelægger"
6,"abominatio","noun","ødelæggelse"
3,"abominor","verb","afskyer"
1,"abortivus","adjective","for tidlig født"
59,"Abraham","proper_noun","Abraham"
7,"abscido","verb","afskærer"
19,"absconditus","adjective","hemmelig"
14,"abscondo","verb","forvarer"
7,"absens","adjective","fraværende"
1,"absentia","noun","fraværelse"
1,"absinthium","noun","malurt"
1,"Absinthius","proper_noun","Malurt"
1,"absolvo","verb","befrier"
4,"absorbeo","verb","opdrikker"
2,"absque","preposition","uden"
1,"abstergeo","verb","afvisker"
1,"abstergo","verb","aftørrer"
6,"abstineo","verb","tilbageholder"
1,"abstraho","verb","trækker"
17,"absum","verb","er tilstede"
7,"abundans","adjective","i overflod"
11,"abundanter","adverb","i overflod"
9,"abundantia","noun","overflod"
1,"abunde","adverb","overflødigt"
42,"abundo","verb","er rig på"
1,"abutor","verb","opbruger"
9,"abyssus","noun","afgrund"
78,"accedo","verb","går hen til"
7,"accendo","verb","tænder"
1,"acceptabilis","adjective","nådig"
2,"acceptio","noun","modtagelse"
1,"acceptor","noun","modtager"
4,"acceptus","adjective","velkommen"
3,"accessus","noun","indgang"
6,"accido","verb","falder"
1,"accingo","verb","binder om"
1,"accio","verb","bringer"
229,"accipio","verb","modtager"
2,"acclamo","verb","tilråber"
1,"accola","noun","nabo"
1,"accubitus","noun","plands ved bordet"
5,"accumbo","verb","lægger mig til bords"
3,"accurro","verb","løber til"
2,"accusatio","noun","anklage"
5,"accusator","noun","anklager"
29,"accuso","verb","klager over"
6,"acetum","noun","bitterhed"
10,"Achaia","proper_noun","Akaja"
1,"Achaicus","proper_noun","Akaikos "
2,"Achaz","proper_noun","Akaz"
2,"Acheldemach","proper_noun"," Acheldemach; blod"
2,"Achim","proper_noun","Akim"
1,"acquiesco","verb","udhviler"
3,"acquiro","verb","skaffer"
3,"acquisitio","noun","erhvervelse"
8,"actio","noun","handling"
1,"actor","noun","bagmand"
3,"actus","noun","handling"
1,"aculeus","noun","spids"
3,"acus","noun","nål"
7,"acutus","adjective","skarp"
938,"ad","preposition","til"
7,"Adam","proper_noun","Adam"
3,"adaperio","verb","åbner"
1,"adaquo","verb","gør lige med"
1,"adaugeo","verb","forøger"
1,"Addi","proper_noun","Addi"
2,"addo","verb","tilføjer"
38,"adduco","verb","tilfører"
4,"adeo","verb","går hen"
11,"adhaereo","verb","hænger fast"
1,"adhibeo","verb","holder"
66,"adhuc","adverb","endnu"
2,"adiaceo","verb","ligger hos"
8,"adicio","verb","kaster hen"
16,"adimpleo","verb","opfylder"
1,"adiudico","verb","tildømmer"
2,"adiungo","verb","føjer til"
4,"adiuro","verb","sværger"
9,"adiutor","noun","medhjælper"
1,"adiutorium","noun","understøttelse"
15,"adiuvo","verb","hjælper"
2,"administro","verb","forvalter"
1,"admirabilis","adjective","beundringsværdig"
1,"admiratio","noun","beundring"
14,"admiror","verb","beundrer"
3,"admitto","verb","tilsender"
2,"admoneo","verb","påminder"
1,"adnavigo","verb","sejler til"
1,"adnumero","verb","tiltæller"
1,"adnuntiator","noun","forkynder"
40,"adnuntio","verb","forkynder"
4,"adnuo","verb","tilnikker"
5,"adoptio","noun","adoption"
1,"adorator","noun","tilbeder"
58,"adoro","verb","bønfalder"
1,"adquiesco","verb","udhviler"
1,"adquisitio","noun","erhvervelse"
8,"adsum","verb","er tilstede"
1,"adulatio","noun","smigreri"
2,"adulescens","adjective","ung"
12,"adulescens","noun","ung mand"
3,"adulter","adjective","bolerisk; vellystig"
2,"adulter","noun","horkarl"
2,"adultera","noun","begår ægteskabsbrud"
5,"adulterium","noun","ægteskabsbrud"
6,"adultero","verb","begår ægteskabsbrud"
6,"advena","noun","fremme"
11,"advenio","verb","kommer frem"
19,"adventus","noun","ankomst "
6,"adversarius","adjective","fjendsk"
1,"adversarius","noun","fjendsk"
3,"adversor","verb","står imod"
1,"adversus","adjective","mod"
62,"adversus","preposition","mod"
1,"advesperasco","verb","bliver aften"
3,"advoco","verb","tilkalder"
2,"advolvo","verb","vælter"
2,"aedes","noun","tempel"
15,"aedificatio","noun","bygning"
37,"aedifico","verb","bygger"
1,"aeger","adjective","syg"
1,"aegrotatio","noun","sygdom"
2,"aegrotus","adjective","syg"
3,"Aegyptius","noun","Egypten"
21,"Aegyptus","proper_noun","Egypten"
10,"aemulatio","noun","rivalitet"
