"Occurrences","Lexeme","Part of speech","Gloss"
2,"Aaron","proper_noun","Aaron"
776,"ab","preposition","from"
1,"Abaddon","proper_noun",""
3,"Abba","proper_noun",""
1,"abdico","verb","deny"
2,"abduco","verb","take away"
2,"Abel","proper_noun",""
105,"abeo","verb","go from"
3,"Abia","proper_noun",""
1,"Abiathar","proper_noun",""
2,"abicio","verb","cast away, throw away"
1,"Abilina","proper_noun",""
2,"Abiud","proper_noun",""
3,"abluo","verb","wash away"
3,"abnego","verb","refuse, deny"
1,"aboleo","verb",""
6,"abominatio","noun",""
3,"abominor","verb",""
1,"abortivus","adjective",""
59,"Abraham","proper_noun",""
7,"abscido","verb",""
19,"absconditus","adjective",""
14,"abscondo","verb",""
7,"absens","adjective",""
1,"absentia","noun",""
1,"absinthium","noun",""
1,"Absinthius","proper_noun",""
1,"absolvo","verb",""
4,"absorbeo","verb",""
2,"absque","preposition",""
1,"abstergeo","verb",""
1,"abstergo","verb",""
6,"abstineo","verb",""
1,"abstraho","verb",""
17,"absum","verb",""
7,"abundans","adjective",""
11,"abundanter","adverb",""
9,"abundantia","noun",""
1,"abunde","adverb",""
42,"abundo","verb",""
1,"abutor","verb",""
9,"abyssus","noun","bottomless pit, hell"
78,"accedo","verb",""
7,"accendo","verb",""
1,"acceptabilis","adjective",""
2,"acceptio","noun",""
1,"acceptor","noun",""
4,"acceptus","adjective",""
3,"accessus","noun",""
6,"accido","verb",""
1,"accingo","verb",""
1,"accio","verb",""
229,"accipio","verb",""
2,"acclamo","verb",""
1,"accola","noun",""
1,"accubitus","noun",""
5,"accumbo","verb",""
3,"accurro","verb",""
2,"accusatio","noun",""
5,"accusator","noun",""
29,"accuso","verb",""
6,"acetum","noun",""
10,"Achaia","proper_noun",""
1,"Achaicus","proper_noun",""
2,"Achaz","proper_noun",""
2,"Acheldemach","proper_noun",""
2,"Achim","proper_noun",""
1,"acquiesco","verb",""
3,"acquiro","verb",""
3,"acquisitio","noun",""
8,"actio","noun",""
1,"actor","noun",""
3,"actus","noun",""
1,"aculeus","noun",""
3,"acus","noun",""
7,"acutus","adjective",""
938,"ad","preposition",""
7,"Adam","proper_noun",""
3,"adaperio","verb",""
1,"adaquo","verb",""
1,"adaugeo","verb",""
1,"Addi","proper_noun",""
2,"addo","verb",""
38,"adduco","verb",""
4,"adeo","verb",""
11,"adhaereo","verb",""
1,"adhibeo","verb",""
66,"adhuc","adverb",""
2,"adiaceo","verb",""
8,"adicio","verb",""
16,"adimpleo","verb",""
1,"adiudico","verb",""
2,"adiungo","verb",""
4,"adiuro","verb",""
9,"adiutor","noun",""
1,"adiutorium","noun",""
15,"adiuvo","verb",""
2,"administro","verb",""
1,"admirabilis","adjective",""
1,"admiratio","noun",""
14,"admiror","verb",""
3,"admitto","verb",""
2,"admoneo","verb",""
1,"adnavigo","verb",""
1,"adnumero","verb",""
1,"adnuntiator","noun",""
40,"adnuntio","verb",""
4,"adnuo","verb",""
5,"adoptio","noun",""
1,"adorator","noun",""
58,"adoro","verb",""
1,"adquiesco","verb",""
1,"adquisitio","noun",""
8,"adsum","verb",""
1,"adulatio","noun",""
2,"adulescens","adjective",""
12,"adulescens","noun",""
3,"adulter","adjective",""
2,"adulter","noun",""
2,"adultera","noun",""
5,"adulterium","noun",""
6,"adultero","verb",""
6,"advena","noun",""
11,"advenio","verb",""
19,"adventus","noun",""
6,"adversarius","adjective",""
1,"adversarius","noun",""
3,"adversor","verb",""
1,"adversus","adjective",""
62,"adversus","preposition",""
1,"advesperasco","verb",""
3,"advoco","verb",""
